STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1997283,46.95%,-0.03%
VIC,430560,10.12%,-0.10%
QLD,618683,14.54%,0.01%
SA,590096,13.87%,0.18%
WA,444112,10.44%,-0.09%
TAS,141919,3.34%,-0.23%
NT,7184,0.17%,-0.14%
ACT,24235,0.57%,-0.03%
TOTAL,4254072,100.00%,-0.02%
