STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,6797,186395,232538,228371,183841,185378,1023320,35.57%
VIC,1812,37883,42298,40117,30484,29720,182314,8.19%
QLD,12801,97667,86324,59634,37259,28777,322462,18.00%
SA,26468,62830,60169,58065,48873,48158,304563,46.25%
WA,866,26509,54684,53972,43498,43002,222531,23.64%
TAS,190,7730,16577,17169,14601,15746,72013,36.34%
NT,62,357,924,915,597,323,3178,3.52%
ACT,202,1485,2694,2402,1874,1562,10219,7.03%
TOTAL,49198,420856,496208,460645,361027,352666,2140600,23.98%
