STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1176,172027,230487,227731,188005,200325,1019751,36.00%
VIC,1809,34881,42508,40001,31189,31450,181838,8.33%
QLD,4870,96933,88588,61743,38507,31540,322181,18.47%
SA,27800,64563,62161,59350,50560,52351,316785,48.57%
WA,790,22368,53615,54149,44402,46563,221887,23.66%
TAS,203,6404,16166,16860,14889,16813,71335,35.41%
NT,55,349,875,949,620,354,3202,3.45%
ACT,225,1422,2680,2419,1914,1683,10343,7.06%
TOTAL,36928,398947,497080,463202,370086,381079,2147322,24.43%
