STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1989495,46.65%,-0.07%
VIC,429923,10.08%,-0.14%
QLD,618654,14.51%,-0.09%
SA,611511,14.34%,0.33%
WA,442863,10.38%,-0.06%
TAS,140424,3.29%,-0.11%
NT,7224,0.17%,-0.14%
ACT,24579,0.58%,-0.40%
TOTAL,4264673,100.00%,-0.03%
