financial_year,housing_type,local_government_area,is_total_row,total_households,number_of_household_members,aboriginal_households,households_with_person_with_disability,average_market_rent_of_occupied_dwellings_30_june,average_rent_changed_30_june,paying_less_than_market_rent,single_person,single_parent_with_dependent_children,couple_only,couple_with_dependent_children,group_or_mixed_composition,has_child_under_15_years,has_child_under_5_years,has_adult_65_years_or_more,younger_person_main_tenant_under_25_years,overcrowded_households,underutilised_households,under_3_years,3_to_9_years,10_or_more_years,aged_pension,disability_support_pension,job_seeker,other_government_payment,employee_cash_income_or_wages,other_cash_income,income_not_stated
2019-20,Public Housing,City of Norwood Payneham and St Peters,False,570,695,30,215,292.11971830985914,117.61461267605658,550,475,25,25,5,40,25,10,195,20,0,50,135,160,275,140,220,110,30,35,10,20
2019-20,Public Housing,City of Onkaparinga,False,2965,4975,190,1220,252.19892110586648,139.1873229939289,2670,1790,290,295,70,525,345,100,1030,60,70,905,530,675,1760,720,1140,375,295,120,25,295
2019-20,Public Housing,City of Playford,False,2790,5055,215,1280,210.25080616266573,136.89387316373853,2340,1605,315,260,110,505,425,130,995,55,70,755,705,935,1155,685,855,390,305,60,25,465
2019-20,Public Housing,City of Port Adelaide Enfield,False,3825,6365,260,1340,280.6475045727724,140.91750718578334,3510,2380,300,345,110,685,425,150,1575,55,110,690,910,1055,1860,1140,1200,505,395,200,50,335
2019-20,Public Housing,City of Port Lincoln,False,525,855,105,210,205.696394686907,127.95218216318808,460,340,70,45,20,55,85,30,195,10,10,160,135,180,210,145,155,85,50,20,5,65
2019-20,Public Housing,City of Prospect,False,235,310,15,110,318.8776371308017,127.4687763713078,235,190,5,15,5,25,10,5,85,5,5,20,55,50,135,60,100,30,20,15,5,5
2019-20,Public Housing,City of Salisbury,False,3010,5245,160,1280,248.06449468085106,146.27539893616841,2600,1710,290,345,80,580,375,125,1245,25,70,865,570,690,1745,890,930,335,280,120,35,415
2019-20,Public Housing,City of Tea Tree Gully,False,1210,1925,45,510,289.8993399339934,146.97516501650165,1095,775,85,135,20,195,110,30,495,15,25,320,185,260,770,375,405,115,100,80,20,125
2019-20,Public Housing,City of Unley,False,410,500,15,150,272.5728155339806,117.58422330097098,395,350,20,20,0,20,25,5,135,20,5,30,115,95,200,105,145,80,35,25,5,20
2019-20,Public Housing,City of West Torrens,False,1210,1695,50,415,276.86920529801324,129.06167218543055,1110,910,55,80,25,135,80,25,440,30,20,145,270,350,590,310,450,175,90,70,15,105
2019-20,Public Housing,City of Whyalla,False,2010,3375,310,1020,194.09940357852884,123.77659045725547,1700,1285,285,175,75,190,360,145,575,130,25,1135,625,570,820,430,460,410,350,50,10,305
2019-20,Public Housing,Clare and Gilbert Valleys Council,False,110,175,5,80,185.72477064220183,131.64220183486236,75,65,10,15,5,10,15,5,40,5,0,40,30,40,40,20,30,5,10,5,0,30
2019-20,Public Housing,Coorong District Council,False,5,5,0,5,161.14285714285714,109.34285714285714,5,5,0,0,0,0,0,0,5,0,0,5,0,5,5,5,5,0,0,0,0,0
2019-20,Public Housing,Copper Coast Council,False,230,355,20,150,196.75,124.51249999999983,200,155,20,25,5,25,30,5,95,0,0,65,60,80,95,60,80,30,20,5,0,35
2019-20,Public Housing,Corporation of the Town of Walkerville,False,150,155,5,55,235.86666666666667,104.21199999999995,145,145,0,0,0,5,0,0,30,5,0,0,60,35,55,25,65,40,5,10,5,5
2019-20,Public Housing,District Council Lower Eyre Peninsula,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
