financial_year,housing_type,local_government_area,is_total_row,number_of_dwellings,rate_per_10_000_of_all_residential_dwellings,tenantable_dwellings,untenantable_dwellings_or_undergoing_major_redevelopment,number_of_occupied_dwellings,pct_of_tenantable_dwellings_that_are_occupied,average_market_rent_of_dwelling_30_june,1_or_2_bedrooms,3_bedrooms,4_or_more_bedrooms,separate_houses,semi_detached,flat_unit_or_apartment
2019-20,Public Housing,District Council of Peterborough,False,25,223.2655190401669,25,0,25,1,132.75,5,15,0,10,10,5
2019-20,Public Housing,District Council of Streaky Bay,False,20,138.60280305349306,20,0,20,1,173.11111111111111,10,5,0,5,10,5
2019-20,Public Housing,District Council of Tumby Bay,False,5,38.8707819150844,5,0,5,1,224.33333333333334,0,5,0,5,0,0
2019-20,Public Housing,District Council of Yankalilla,False,5,14.635262908727,5,0,5,1,168.66666666666666,5,0,0,0,0,5
2019-20,Public Housing,Kangaroo Island Council,False,45,133.75262402402902,45,0,45,1,207.6818181818182,20,25,0,25,15,5
2019-20,Public Housing,Light Regional Council,False,35,59.297249595239826,35,0,35,1,192.68571428571428,15,15,0,20,5,10
2019-20,Public Housing,Mid Murray Council,False,55,76.40627668930509,55,0,55,1,176.71698113207546,10,40,0,45,0,10
2019-20,Public Housing,Mount Barker District Council,False,370,255.15286022291463,365,5,360,0.9863013698630136,271.52972972972975,135,210,25,275,70,20
2019-20,Public Housing,Naracoorte Lucindale Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Northern Areas Council,False,35,140.84871058521554,35,0,30,0.8571428571428571,124.60606060606061,25,5,0,5,0,25
2019-20,Public Housing,Out of Council Boundary,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Port Augusta City Council,False,655,976.6385920404736,640,15,600,0.9375,192.4862385321101,215,410,30,225,350,75
2019-20,Public Housing,Port Pirie Regional Council,False,740,875.498690594381,730,10,685,0.9383561643835616,168.82860998650472,350,365,25,215,370,160
2019-20,Public Housing,Regional Council of Goyder,False,15,59.184766633519416,15,0,15,1,142.92307692307693,10,5,0,5,10,0
