financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Coorong District Council,False,5,5,0,0,0,0,0,0,0,0,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Copper Coast Council,False,35,15,20,0,0,5,5,5,0,5,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Corporation of the Town of Walkerville,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council Lower Eyre Peninsula,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Ceduna,False,145,60,85,0,15,40,15,25,15,10,15,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Cleve,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Coober Pedy,False,120,55,65,0,15,30,20,15,10,15,10,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Elliston,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Franklin Harbour,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Loxton Waikerie,False,10,5,5,0,0,0,5,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Mount Remarkable,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Orroroo Carrieton,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Peterborough,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Streaky Bay,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Tumby Bay,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),District Council of Yankalilla,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Kangaroo Island Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Light Regional Council,False,5,5,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Mid Murray Council,False,20,5,10,0,0,5,5,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Mount Barker District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Naracoorte Lucindale Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Northern Areas Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Out of Council Boundary,False,90,45,40,5,5,15,20,15,5,15,10,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Port Augusta City Council,False,355,155,195,5,15,105,55,35,30,50,30,25,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Port Pirie Regional Council,False,15,10,10,0,0,5,0,0,0,5,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Regional Council of Goyder,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Renmark Paringa Council,False,25,10,20,0,0,5,10,0,5,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Southern Mallee District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Tatiara District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),The Barossa Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),The Flinders Ranges Council,False,30,10,15,0,5,5,0,5,0,5,5,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),The Rural City of Murray Bridge,False,180,70,110,0,10,40,35,20,25,20,15,15,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Town of Gawler,False,15,5,10,0,0,5,0,0,0,5,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Wakefield Regional Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Wudinna District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Yorke Peninsula Council,False,60,30,30,0,5,15,10,5,5,5,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Total - household members,True,3392,1461,1908,23,210,868,580,350,357,416,351,191,69
2020-21,State Owned and Managed Indigenous Housing (SOMIH),% Total - household members,True,1,0.43071933962264153,0.5625,0.006780660377358491,0.061910377358490566,0.25589622641509435,0.17099056603773585,0.10318396226415094,0.10524764150943396,0.12264150943396226,0.10347877358490566,0.05630896226415094,0.02034198113207547
