financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2019-20,Public Housing,Port Augusta City Council,False,1145,475,645,25,60,220,135,95,115,135,155,120,110
2019-20,Public Housing,Port Pirie Regional Council,False,1090,505,575,15,45,115,105,80,90,140,160,170,180
2019-20,Public Housing,Regional Council of Goyder,False,15,10,5,0,0,0,0,0,0,0,0,5,5
2019-20,Public Housing,Renmark Paringa Council,False,305,140,160,5,10,45,40,25,40,45,40,35,25
2019-20,Public Housing,Southern Mallee District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Tatiara District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,The Barossa Council,False,190,90,100,0,5,15,20,10,15,15,40,45,25
2019-20,Public Housing,The Flinders Ranges Council,False,25,10,10,0,0,0,0,0,0,0,5,10,10
2019-20,Public Housing,The Rural City of Murray Bridge,False,915,410,495,10,45,100,95,65,80,130,165,145,95
2019-20,Public Housing,Town of Gawler,False,705,310,385,15,10,55,55,40,45,110,160,130,105
2019-20,Public Housing,Wakefield Regional Council,False,20,10,10,0,0,5,0,0,0,5,0,5,5
2019-20,Public Housing,Wudinna District Council,False,10,5,5,0,0,0,0,0,0,0,5,5,5
2019-20,Public Housing,Yorke Peninsula Council,False,100,50,50,0,5,5,0,5,0,10,20,20,25
2019-20,Public Housing,Total - household members,True,49521,22411,26287,823,1565,5195,5044,3867,4570,7254,8989,7331,5705
2019-20,Public Housing,% Total - household members,True,1,0.45255548151289354,0.5308253064356535,0.01661921205145292,0.031602754387027726,0.10490498980230609,0.10185577835665677,0.07808808384321803,0.09228408150077745,0.14648331011086205,0.18151895155590558,0.1480382060136104,0.11520365097635346
2020-21,Public Housing,Adelaide Hills Council,False,30,15,20,0,0,5,0,5,0,5,10,5,0
2020-21,Public Housing,Adelaide Plains Council,False,5,5,5,0,0,0,0,0,0,0,0,5,0
2020-21,Public Housing,Alexandrina Council,False,35,20,15,0,0,0,0,0,0,5,10,10,5
2020-21,Public Housing,Barunga West Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Berri Barmera Council,False,470,215,245,10,10,70,60,40,55,55,65,70,40
2020-21,Public Housing,Campbelltown City Council,False,985,450,530,5,30,105,90,70,115,150,165,140,125
2020-21,Public Housing,City of Adelaide,False,390,235,155,0,15,15,25,35,40,80,90,60,35
2020-21,Public Housing,City of Burnside,False,175,100,75,5,0,0,5,15,30,35,40,30,15
2020-21,Public Housing,City of Charles Sturt,False,4190,1925,2205,60,125,395,420,310,385,615,775,715,445
2020-21,Public Housing,City of Holdfast Bay,False,305,125,175,5,5,5,20,20,30,50,60,55,60
2020-21,Public Housing,City of Marion,False,2985,1335,1610,40,65,295,250,220,285,425,560,510,370
