financial_year,housing_type,local_government_area,is_total_row,new_households_housed,number_of_household_members,households_in_greatest_need,aboriginal_households,households_with_person_with_disability,paying_less_than_market_rent,greatest_need_households_and_time_waited_was_under_6_months,single_person,single_parent_with_dependent_children,couple_only,couple_with_dependent_children,group_or_mixed_composition,has_child_under_15_years,has_child_under_5_years,has_adult_65_years_or_more,younger_person_main_tenant_under_25_years,aged_pension,disability_support_pension,job_seeker,other_government_payment,employee_cash_income,other_cash_income,income_not_stated
2019-20,Public Housing,Adelaide Hills Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Adelaide Plains Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Alexandrina Council,False,5,5,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2019-20,Public Housing,Barunga West Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,Berri Barmera Council,False,40,75,30,15,15,35,30,25,10,0,0,5,10,5,5,5,0,10,15,10,0,0,5
2019-20,Public Housing,Campbelltown City Council,False,40,75,30,10,20,35,25,20,10,5,0,5,10,5,5,5,0,15,10,10,0,0,5
2019-20,Public Housing,City of Adelaide,False,40,50,35,10,15,30,25,30,0,0,0,5,0,0,5,5,5,10,15,5,0,0,5
2019-20,Public Housing,City of Burnside,False,15,15,10,0,5,15,10,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2019-20,Public Housing,City of Charles Sturt,False,185,350,150,50,65,160,110,100,55,5,15,10,65,35,10,15,10,35,65,50,5,0,20
2019-20,Public Housing,City of Holdfast Bay,False,15,25,15,5,5,10,10,10,5,0,0,0,5,0,0,0,0,0,5,0,0,0,5
2019-20,Public Housing,City of Marion,False,155,265,140,30,65,130,95,90,40,0,5,15,45,20,5,20,5,25,55,40,0,0,25
2019-20,Public Housing,City of Mitcham,False,10,15,10,0,5,10,5,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2019-20,Public Housing,City of Mount Gambier,False,70,120,60,15,40,60,45,40,20,5,0,5,20,10,5,5,0,10,25,20,5,0,10
2019-20,Public Housing,City of Norwood Payneham and St Peters,False,35,45,30,5,15,35,25,30,5,0,0,0,5,0,0,0,0,5,20,5,0,0,0
2019-20,Public Housing,City of Onkaparinga,False,145,300,130,35,80,120,85,85,30,5,15,15,50,25,10,15,5,45,40,30,0,0,20
2019-20,Public Housing,City of Playford,False,140,280,90,25,85,130,70,90,30,5,10,5,45,20,10,5,10,45,35,45,0,0,10
2019-20,Public Housing,City of Port Adelaide Enfield,False,210,365,170,45,85,190,125,145,40,5,5,15,45,15,15,25,5,45,85,45,10,0,20
2019-20,Public Housing,City of Port Lincoln,False,45,75,30,25,20,40,20,30,10,0,0,0,10,10,5,5,5,10,10,15,0,0,5
2019-20,Public Housing,City of Prospect,False,20,25,15,5,10,20,15,20,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0
2019-20,Public Housing,City of Salisbury,False,140,265,105,25,70,125,85,70,45,10,5,10,45,20,20,10,10,30,40,40,5,0,10
2019-20,Public Housing,City of Tea Tree Gully,False,40,85,35,10,20,40,30,25,10,0,0,5,10,5,5,5,0,10,10,15,5,0,0
2019-20,Public Housing,City of Unley,False,40,50,35,5,20,35,30,35,5,0,0,0,5,0,0,10,0,10,20,10,0,0,5
2019-20,Public Housing,City of West Torrens,False,90,135,70,15,40,80,45,70,10,5,0,10,10,5,5,10,5,25,30,15,5,0,10
2019-20,Public Housing,City of Whyalla,False,160,325,125,50,60,140,110,95,40,5,15,10,55,30,10,10,5,30,35,65,5,0,20
2019-20,Public Housing,Clare and Gilbert Valleys Council,False,10,15,10,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,Coorong District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,Copper Coast Council,False,10,10,5,0,10,10,5,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0
2019-20,Public Housing,Corporation of the Town of Walkerville,False,20,20,15,0,10,15,15,15,0,0,0,0,0,0,0,0,0,5,10,0,0,0,5
2019-20,Public Housing,District Council Lower Eyre Peninsula,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,District Council of Ceduna,False,10,20,10,10,5,10,5,5,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0
2019-20,Public Housing,District Council of Cleve,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Coober Pedy,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,District Council of Elliston,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,District Council of Franklin Harbour,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,District Council of Loxton Waikerie,False,20,45,15,5,10,20,10,10,5,5,0,0,5,5,0,0,0,5,10,5,0,0,5
2019-20,Public Housing,District Council of Mount Remarkable,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,District Council of Orroroo Carrieton,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,District Council of Peterborough,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Streaky Bay,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Tumby Bay,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
