STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,253376.00,25.80%,5.46%
VIC,238185.00,24.25%,2.17%
QLD,207077.00,21.09%,-1.75%
SA,90703.00,9.24%,-2.46%
WA,144207.00,14.68%,-1.70%
TAS,23558.00,2.40%,-5.75%
NT,7408.00,0.75%,24.95%
ACT,17494.00,1.78%,3.33%
TOTAL,982008.00,100.00%,1.06%
