STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,107,5968,12191,18973,18749,21633,27595,105216,3.98%
VIC,157,7562,15443,19900,18019,16969,16942,94992,4.86%
QLD,151,5734,10653,15226,16565,17825,18215,84369,5.48%
SA,4031,4081,3735,5239,5896,6685,8639,38306,6.29%
WA,86,4879,8195,11005,11397,11109,10803,57474,7.29%
TAS,21,660,1158,1548,1889,2111,1982,9369,5.03%
NT,4,169,590,728,560,461,242,2754,3.49%
ACT,16,652,1259,1512,1266,1230,987,6922,5.46%
TOTAL,4573,29705,53224,74131,74341,78023,85405,399402,5.04%
