STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,231,10440,23645,29124,26379,28490,29851,148160,5.45%
VIC,494,16650,28806,30061,25409,22402,19371,143193,7.01%
QLD,416,12417,21420,23623,23816,22394,18622,122708,7.86%
SA,4070,6641,6873,8016,8189,8983,9625,52397,8.32%
WA,227,10878,16479,17134,16330,14071,11614,86733,10.93%
TAS,70,1572,2297,2540,2880,2700,2130,14189,7.26%
NT,26,581,1284,1177,841,519,226,4654,6.63%
ACT,52,1361,2479,2127,1833,1575,1145,10572,8.04%
TOTAL,5586,60540,103283,113802,105677,101134,92584,582606,7.15%
