STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2013864,47.18%,-0.04%
VIC,438881,10.27%,-0.05%
QLD,622165,14.57%,-0.02%
SA,564652,13.23%,0.20%
WA,453181,10.62%,-0.16%
TAS,144031,3.37%,-0.05%
NT,7495,0.18%,-0.19%
ACT,24624,0.58%,-0.06%
TOTAL,4268893,100.00%,-0.02%
