STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,90,5530,12507,20866,21946,25584,35773,122296,4.50%
VIC,111,9118,21048,26192,23036,21650,23330,124485,6.01%
QLD,119,6458,13924,20615,21841,23391,25451,111799,6.72%
SA,1833,6508,6079,8324,9012,9785,12776,54317,8.59%
WA,84,6889,13075,16569,16453,15770,15858,84698,9.88%
TAS,22,1031,2025,2645,3161,3611,3457,15952,8.31%
NT,3,228,698,879,827,720,357,3712,4.32%
ACT,6,869,2060,2215,1984,1808,1618,10560,7.76%
TOTAL,2268,36631,71416,98305,98260,102319,118620,527819,6.31%
