STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,302288,22.53%,0.43%
VIC,322237,24.02%,0.57%
QLD,286690,21.37%,0.48%
SA,134006,9.99%,0.71%
WA,217826,16.24%,0.73%
TAS,41548,3.10%,0.42%
NT,10029,0.75%,0.98%
ACT,26938,2.01%,0.94%
TOTAL,1341562,100.00%,0.57%
