STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,336632,21.76%,0.24%
VIC,379930,24.56%,0.37%
QLD,318734,20.61%,0.24%
SA,163190,10.55%,0.56%
WA,254835,16.48%,0.34%
TAS,47372,3.06%,0.23%
NT,12562,0.81%,0.49%
ACT,33420,2.16%,0.46%
TOTAL,1546675,100.00%,0.33%
