STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1606,117736,217972,228978,200274,241279,1007845,34.10%
VIC,1736,23958,44351,40062,33418,37239,180764,7.90%
QLD,1453,77516,89565,69392,43963,39273,321162,17.50%
SA,32257,67291,66274,62891,54790,65111,348614,51.90%
WA,679,13240,47516,55154,47182,56658,220429,21.50%
TAS,185,3218,14413,16751,15912,20154,70633,34.60%
NT,36,314,720,1009,705,432,3216,3.20%
ACT,201,1236,2449,2585,2001,1997,10469,6.90%
TOTAL,38153,304509,483260,476822,398245,462143,2163132,23.40%
