STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1963217,45.73%,-0.04%
VIC,428844,9.99%,0.11%
QLD,619226,14.43%,0.07%
SA,666836,15.59%,0.22%
WA,440167,10.26%,0.01%
TAS,138973,3.24%,0.00%
NT,7236,0.17%,0.37%
ACT,25193,0.59%,0.25%
TOTAL,4289692,100.00%,0.04%
