STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,292,8601,17803,22779,22895,25355,27134,124859,4.59%
VIC,553,14182,25144,26288,22683,20247,17728,126825,6.21%
QLD,460,11081,19543,21964,21193,19965,16724,110930,7.10%
SA,4175,5351,6241,7382,7333,8249,8821,47552,7.55%
WA,225,9521,14862,15989,14702,12832,10677,78808,9.93%
TAS,47,1437,2213,2551,2679,2455,1967,13349,6.83%
NT,14,347,786,724,551,334,165,2921,4.16%
ACT,54,1082,2066,1748,1524,1284,978,8736,6.64%
Other,0,0,1,4,2,3,0,10,0.00%
TOTAL,5820,51602,88659,99429,93562,90724,84194,513990,6.31%
