STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,218098,24.88%,1.01%
VIC,213220,24.32%,1.46%
QLD,188504,21.50%,1.87%
SA,83066,9.47%,2.92%
WA,132211,15.08%,1.96%
TAS,22178,2.53%,1.61%
NT,4884,0.56%,2.30%
ACT,14539,1.66%,4.02%
Other,15,0.00%,0.00%
TOTAL,876715,100.00%,1.70%
