STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,363948,21.79%,0.80%
VIC,415518,24.87%,0.63%
QLD,336495,20.14%,0.48%
SA,183578,10.99%,0.63%
WA,268120,16.05%,0.28%
TAS,52471,3.14%,0.39%
NT,13201,0.79%,0.20%
ACT,37121,2.22%,0.70%
TOTAL,1670452,100.00%,0.57%
