agency,period,executive_classification,headcount,is_total_row,source_file
Department of Primary Industries and Regions SA,2020/21,EXEC0F,1,False,pirsa-executive-employment-2020-21.csv
Department of Primary Industries and Regions SA,2020/21,SAES1,14,False,pirsa-executive-employment-2020-21.csv
Department of Primary Industries and Regions SA,2020/21,SAES2,3,False,pirsa-executive-employment-2020-21.csv
Department of Primary Industries and Regions SA,2021/22,EXEC0F,1,False,pirsa-executive-employment-2021022.csv
Department of Primary Industries and Regions SA,2021/22,SAES1,16,False,pirsa-executive-employment-2021022.csv
Department of Primary Industries and Regions SA,2021/22,SAES2,3,False,pirsa-executive-employment-2021022.csv
Department of Primary Industries and Regions SA,2022/23,EXEC0F,1,False,pirsa-executive-employment-2022-23.csv
Department of Primary Industries and Regions SA,2022/23,SAES1,15,False,pirsa-executive-employment-2022-23.csv
Department of Primary Industries and Regions SA,2022/23,SAES2,2,False,pirsa-executive-employment-2022-23.csv
Department of Primary Industries and Regions SA,2023/24,EXEC0F,1,False,pirsa-executive-employment-2023-24.csv
Department of Primary Industries and Regions SA,2023/24,SAES1,16,False,pirsa-executive-employment-2023-24.csv
Department of Primary Industries and Regions SA,2023/24,SAES2,2,False,pirsa-executive-employment-2023-24.csv
Department of State Development,2014-15,CONAGD,1,False,dsd-executive-employment.xlsx
Department of State Development,2014-15,EXEC A,1,False,dsd-executive-employment.xlsx
Department of State Development,2014-15,EXEC E,1,False,dsd-executive-employment.xlsx
Department of State Development,2014-15,EXEC F,1,False,dsd-executive-employment.xlsx
Department of State Development,2014-15,SAES 1,53,False,dsd-executive-employment.xlsx
Department of State Development,2014-15,SAES 2,12,False,dsd-executive-employment.xlsx
Department of State Development,2014-15,TOTAL,69,True,dsd-executive-employment.xlsx
Department of State Development,2015-16,CONAGD,2,False,dsd-executive-employment.xlsx
Department of State Development,2015-16,EXEC A,1,False,dsd-executive-employment.xlsx
Department of State Development,2015-16,EXEC E,0,False,dsd-executive-employment.xlsx
Department of State Development,2015-16,EXEC F,1,False,dsd-executive-employment.xlsx
Department of State Development,2015-16,SAES 1,52,False,dsd-executive-employment.xlsx
Department of State Development,2015-16,SAES 2,14,False,dsd-executive-employment.xlsx
Department of State Development,2015-16,TOTAL,70,True,dsd-executive-employment.xlsx
Department of State Development,2016-17,CONAGD,4,False,dsd-executive-employment.xlsx
Department of State Development,2016-17,EXEC A,1,False,dsd-executive-employment.xlsx
Department of State Development,2016-17,EXEC E,0,False,dsd-executive-employment.xlsx
Department of State Development,2016-17,EXEC F,0,False,dsd-executive-employment.xlsx
Department of State Development,2016-17,SAES 1,30,False,dsd-executive-employment.xlsx
Department of State Development,2016-17,SAES 2,9,False,dsd-executive-employment.xlsx
Department of State Development,2016-17,TOTAL,44,True,dsd-executive-employment.xlsx
Department of State Development,2017-18,EXEC F,1,False,dsd-executive-employment.xlsx
Department of State Development,2017-18,SAES 1,29,False,dsd-executive-employment.xlsx
Department of State Development,2017-18,SAES 2,8,False,dsd-executive-employment.xlsx
Education Standards Board,2013-14,Classification (tenured),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2013-14,Classification (untenured),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2013-14,Common Law Contract (not SAES),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2013-14,Executives (total),3,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2014-15,Classification (tenured),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2014-15,Classification (untenured),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2014-15,Common Law Contract (not SAES),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2014-15,Executives (total),3,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2015-16,Classification (tenured),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2015-16,Classification (untenured),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2015-16,Common Law Contract (not SAES),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2015-16,Executives (total),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2016-17,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2016-17,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2016-17,Common Law Contract (not SAES),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2016-17,Executives (total),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2017-18,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2017-18,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2017-18,Common Law Contract (not SAES),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2017-18,Executives (total),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2018-19,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2018-19,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2018-19,Common Law Contract (not SAES),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2018-19,Executives (total),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2019-20,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2019-20,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2019-20,Common Law Contract (not SAES),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2019-20,Executives (total),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2020-21,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2020-21,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2020-21,Common Law Contract (not SAES),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2020-21,Executives (total),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2021-22,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2021-22,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2021-22,Common Law Contract (not SAES),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2021-22,Executives (total),1,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2022-23,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2022-23,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2022-23,Common Law Contract (not SAES),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2022-23,Executives (total),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2023-24,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2023-24,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2023-24,Common Law Contract (not SAES),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2023-24,Executives (total),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2024-25,Classification (tenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2024-25,Classification (untenured),0,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2024-25,Common Law Contract (not SAES),2,False,executive-employment-education-standards-board-a11659023-1.csv
Education Standards Board,2024-25,Executives (total),2,False,executive-employment-education-standards-board-a11659023-1.csv
Essential Services Commission of SA,2012-13,Level A,0,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2012-13,Level B,3,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2012-13,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2013-14,Level A,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2013-14,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2013-14,Level D,0,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2014-15,Level A,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2014-15,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2014-15,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2015-16,Level A,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2015-16,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2015-16,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2016-17,Level A,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2016-17,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2016-17,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2017-18,Level A,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2017-18,Level B,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2017-18,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2018-19,Level A,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2018-19,Level B,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2018-19,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2019-20,Level A,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2019-20,Level B,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2019-20,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2020-21,Level A,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2020-21,Level B,2,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2020-21,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2021-22,Level A,3,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2021-22,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2021-22,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2022-23,Level A,3,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2022-23,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2022-23,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2023-24,Level A,3,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2023-24,Level B,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Essential Services Commission of SA,2023-24,Level D,1,False,20250317-escosa-annual-report-statistics-executive-employment.csv
Health Performance Council,2012,Total,0,True,executive.xlsx
Health Performance Council,2013,Total,0,True,executive.xlsx
Health Performance Council,2014,Total,0,True,executive.xlsx
Health Performance Council,2015,Total,0,True,executive.xlsx
Health Performance Council,2016,Total,0,True,executive.xlsx
Health Performance Council,As at 30 June 2018,Executive classification,0,False,2017-18-executive-employment.xlsx
Health Performance Council,As at 30 June 2019,Executive classification,0,False,2018-19-executive-employment.xlsx
Health Performance Council,As at 30 June 2020,Executive classification,0,False,2019-20-executive-employment.xlsx
Health Performance Council,As at 30 June 2021,Executive classification,0,False,2020-21-executive-employment.xlsx
Health Performance Council,At 30 June 2022,N/a,0,False,2021-22-executive-employment.xlsx
Health Performance Council,At 30 June 2023,N/a,0,False,2022-23-executive-employment.xlsx
Health Performance Council,At 30 June 2024,N/a,0,False,2023-24-executive-employment.xlsx
Health Performance Council,At 30 June 2025,N/a,0,False,2024-25-executive-employment.xlsx
Health Services Charitable Gifts Board,As at 30 June 2013,Executive classification,0,False,executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2014,Executive classification,0,False,executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2015,Executive classification,0,False,executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2016,Executive classification,0,False,executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2017,Executive classification,0,False,executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2018,Executive classification,0,False,1718-executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2019,Executive employment classification in the agency,0,False,1819-executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2020,Executive employment classification in the agency,0,False,1920-executive-employment-in-the-agency-hscgb.xlsx
Health Services Charitable Gifts Board,As at 30 June 2021,Executive employment classification in the agency,0,False,20-21-executive-employment-in-the-agency-hscgb.csv
Health Services Charitable Gifts Board,As at 30 June 2022,Executive employment classification in the agency,0,False,21-22-executive-employment-in-the-agency-hscgb.csv
Health Services Charitable Gifts Board,As at 30 June 2023,Executive employment classification in the agency,0,False,22-23-executive-employment-in-the-agency-hscgb.csv
Health Services Charitable Gifts Board,As at 30 June 2024,Executive employment classification in the agency,0,False,23-24-executive-employment-in-the-agency-hscgb.csv
Health Services Charitable Gifts Board,As at 30 June 2025,Executive employment classification in the agency,0,False,24-25-executive-employment-in-the-agency-hscgb.csv
Health and Community Services Complaints Commissioner,As at 30 June 2013,Statutory Officer,1,False,hcscc-executive-employment-template.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2014,Statutory Officer,1,False,hcscc-executive-employment-template.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2015,Statutory Officer,1,False,hcscc-executive-employment-template.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2016,Statutory Officer,1,False,hcscc-executive-employment-template.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2017,Statutory Officer,1,False,hcscc-executive-employment-template.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2018,EXEC0A,1,False,executive-employment-template.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2019,Statutory Appointment,1,False,19_11_06-executive-employment.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2020,Statutory Appointment,1,False,20_11_13-executive-employment.xlsx
Health and Community Services Complaints Commissioner,As at 30 June 2021,Statutory Appointment,1,False,21_10_28-executive-employment.xlsx
History Trust of South Australia,2011-12,EXEC0A,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2011-12,SAES1,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2011-12,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2012-13,EXEC0A,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2012-13,SAES1,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2012-13,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2013-14,EXEC0A,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2013-14,SAES1,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2013-14,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2014-15,EXEC0A,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2014-15,SAES1,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2014-15,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2015-16,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2015-16,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2015-16,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2016-17,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2016-17,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2016-17,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2017-18,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2017-18,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2017-18,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2018-19,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2018-19,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2018-19,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2019-20,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2019-20,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2019-20,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2020-21,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2020-21,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2020-21,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2021-22,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2021-22,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2021-22,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2022-23,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2022-23,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2022-23,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2023-24,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2023-24,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2023-24,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2024-25,EXEC0A,0,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2024-25,SAES1,1,False,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
History Trust of South Australia,2024-25,Total Executive Employment,1,True,executive-employment-htsa-for-period-2011-2012-to-2024-25.csv
ICAC and Office for Public Integrity,2016-17,AS08,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,INV3,3,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,INV4,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,LEC5,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,MAS3,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,SAES1,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,SAES2,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2016-17,Total,10,True,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,ASO7,0,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,INV3,3,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,INV4,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,LEC5,2,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,MAS3,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,SAES1,2,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,SAES2,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2017-18,Total,11,True,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,AS08,0,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,INV3,3,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,INV4,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,LEC5,2,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,MAS3,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,SAES1,3,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2018-19,Total,12,True,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2019-20,Total,12,True,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,AS08,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,CONAGD,2,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,INV2,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,INV3,2,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,INV4,1,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,SAES1,4,False,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
ICAC and Office for Public Integrity,2020-21,Total,11,True,icac-and-opi-annual-report-data-executive-employment-in-the-agency.csv
Lotteries Commission of South Australia,2012-13,EXEC0A,2,False,executive-employment-in-the-agency-last-five-years.csv
Lotteries Commission of South Australia,2012-13,EXEC0D,1,False,executive-employment-in-the-agency-last-five-years.csv
Lotteries Commission of South Australia,2013-14,EXEC0A,1,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2013-14,EXEC0D,1,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2014-15,EXEC0A,1,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2014-15,EXEC0D,0,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2015-16,EXEC0A,1,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2015-16,EXEC0D,0,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2016-17,EXEC0A,0,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2016-17,EXEC0D,1,False,executive-employment-in-the-agency-last-five-years-2017-18.xlsx
Lotteries Commission of South Australia,2017-18,EXEC0A,0,False,executive-employment-data-2022.csv
Lotteries Commission of South Australia,2017-18,EXEC0D,1,False,executive-employment-data-2022.csv
Lotteries Commission of South Australia,2018-19,EXEC0A,0,False,executive-employment-data-2022.csv
Lotteries Commission of South Australia,2018-19,EXEC0D,1,False,executive-employment-data-2023.csv
Lotteries Commission of South Australia,2019-20,EXEC0A,0,False,executive-employment-data-2022.csv
Lotteries Commission of South Australia,2019-20,EXEC0D,1,False,executive-employment-data-2023.csv
Lotteries Commission of South Australia,2020-21,EXEC0A,0,False,executive-employment-data-2022.csv
Lotteries Commission of South Australia,2020-21,EXEC0D,1,False,executive-employment-data-2023.csv
Lotteries Commission of South Australia,2021-22,EXEC0A,0,False,executive-employment-data-2022.csv
Lotteries Commission of South Australia,2021-22,EXEC0D,1,False,executive-employment-data-2023.csv
Lotteries Commission of South Australia,2022-23,EXEC0A,0,False,87135169-executive-employment-data-2023.csv
Lotteries Commission of South Australia,2022-23,EXEC0D,1,False,executive-employment-data-2023.csv
Northern Adelaide Local Health Network,As at 30 June 2025,EXEC0E,1,False,data.sa-executive-employment-2024-25.xlsx
Northern Adelaide Local Health Network,As at 30 June 2025,SAES1,6,False,data.sa-executive-employment-2024-25.xlsx
Northern Adelaide Local Health Network,As at 30 June 2025,SAES2,2,False,data.sa-executive-employment-2024-25.xlsx
Office of the Commissioner for Public Sector Employment,2020-21,SAES 2,3,False,executives-in-the-commissioner-for-public-sector-employment.csv.xlsx
Office of the SA Productivity Commission,2022-2023,EXECOF,1,False,2022_2023_osapc_executive-employment.xlsx
Office of the SA Productivity Commission,2022-2023,SAES 1,1,False,2022_2023_osapc_executive-employment.xlsx
Office of the SA Productivity Commission,2022-2023,SAES 2,0,False,2022_2023_osapc_executive-employment.xlsx
Preventive Health SA / Wellbeing SA,As at 30 June 2020,Chief Executive,1,False,wbsaexecutiveemployment201920.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2020,SAES1 Level Roles,3,False,wbsaexecutiveemployment201920.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2021,Chief Executive,1,False,wellbeing-sa-data.sa-executive-employment-2020-21.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2021,SAES1 Level Roles,5,False,wellbeing-sa-data.sa-executive-employment-2020-21.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2022,Chief Executive,1,False,data-executive-employees_2021-22.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2022,SAES1 Level Roles,5,False,data-executive-employees_2021-22.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2023,Chief Executive,1,False,execemployment_2022-23.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2023,SAES1 Level Roles,4,False,execemployment_2022-23.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2024,Chief Executive,1,False,execemployment_2023_24.csv
Preventive Health SA / Wellbeing SA,As at 30 June 2024,SAES1 Level Roles,4,False,execemployment_2023_24.csv
Public Trustee,2012-13,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2012-13,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2013-14,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2013-14,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2014-15,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2014-15,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2016-17,SAES1,2,False,pulic-trustee-executives.csv
