agency,ckan_dataset_url,licence,included_in_merged_table,exclusion_reason,periods_covered,row_count
Department of State Development,https://data.sa.gov.au/data/dataset/dsd-executive-employment,cc-by,True,,"2014-15, 2015-16, 2016-17, 2017-18",24
Education Standards Board,https://data.sa.gov.au/data/dataset/executive-employment-in-education-standards-board,cc-by,True,,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",48
Essential Services Commission of SA,https://data.sa.gov.au/data/dataset/escosa-annual-report-executive-employment,cc-by,True,,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",36
Health Performance Council,https://data.sa.gov.au/data/dataset/health-performance-council-executive-employment,cc-by,True,,"2012, 2013, 2014, 2015, 2016, As at 30 June 2018, As at 30 June 2019, As at 30 June 2020, As at 30 June 2021, At 30 June 2022, At 30 June 2023, At 30 June 2024, At 30 June 2025",13
Health Services Charitable Gifts Board,https://data.sa.gov.au/data/dataset/health-services-charitable-gifts-board-hscgb,cc-by,True,,"As at 30 June 2013, As at 30 June 2014, As at 30 June 2015, As at 30 June 2016, As at 30 June 2017, As at 30 June 2018, As at 30 June 2019, As at 30 June 2020, As at 30 June 2021, As at 30 June 2022, As at 30 June 2023, As at 30 June 2024, As at 30 June 2025",13
Health and Community Services Complaints Commissioner,https://data.sa.gov.au/data/dataset/health-and-community-services-complaints-commissioner-hcscc,cc-by,True,,"As at 30 June 2013, As at 30 June 2014, As at 30 June 2015, As at 30 June 2016, As at 30 June 2017, As at 30 June 2018, As at 30 June 2019, As at 30 June 2020, As at 30 June 2021",9
History Trust of South Australia,https://data.sa.gov.au/data/dataset/executive-employment-at-the-history-trust-of-south-australia,cc-by,True,,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",42
ICAC and Office for Public Integrity,https://data.sa.gov.au/data/dataset/icac-and-opi-annual-report-data-executive-employment-in-the-agency,cc-by,True,,"2016-17, 2017-18, 2018-19, 2019-20, 2020-21",31
Independent Commission Against Corruption,https://data.sa.gov.au/data/dataset/icac-reporting-data-executive-employment-in-the-agency,cc-by,False,"automated parsing produced internally inconsistent figures across overlapping editions (complex multi-column-pair report layout with embedded footnote markers); raw files retained, not merged",,0
Judicial Conduct Commissioner,https://data.sa.gov.au/data/dataset/jcc-annual-report-data-executive-employment,cc-by-nd,False,"CC BY-ND (derivative-restricted, incompatible with a merged/reshaped table)",,0
Lotteries Commission of South Australia,https://data.sa.gov.au/data/dataset/lotteries-commission-of-south-australia-annual-report-data-executive-employment-in-the-agency,cc-by,True,,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23",22
Northern Adelaide Local Health Network,https://data.sa.gov.au/data/dataset/nalhn-data-sa-executive-employment-2024-25,cc-by,True,,As at 30 June 2025,3
Office of the Commissioner for Public Sector Employment,https://data.sa.gov.au/data/dataset/executives-in-the-commissioner-for-public-sector-employment-2020-21,cc-by,True,,2020-21,1
Office of the SA Productivity Commission,https://data.sa.gov.au/data/dataset/osapc-executive-employment-2022-2023,cc-by,True,,2022-2023,3
Preventive Health SA / Wellbeing SA,https://data.sa.gov.au/data/dataset/wbsaexecutiveemployment201920,cc-by,True,,"As at 30 June 2020, As at 30 June 2021, As at 30 June 2022, As at 30 June 2023, As at 30 June 2024",10
Public Trustee,https://data.sa.gov.au/data/dataset/public-trustee-annual-report-data-executive-employment,cc-by,True,,"2012-13, 2013-14, 2014-15, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",24
Renewal SA,https://data.sa.gov.au/data/dataset/executive-employment-rsa,cc-by,True,,"2018/19, 2019/20, 2020/21, 2021/22, 2022/23, 2023/24",6
Riverbank Authority,https://data.sa.gov.au/data/dataset/executive-employment-riverbank,cc-by,True,,"2014-15, 2015-16, 2016-17, 2017-18",4
SA Ambulance Service,https://data.sa.gov.au/data/dataset/2022-2023-sa-ambulance-service-executive-employment,cc-by,True,,As at 30 June 2023,2
SA Metropolitan Advisory Council,https://data.sa.gov.au/data/dataset/executive-employment-in-agency-sa-met-advisory-council,cc-by,True,,As at 30 June 2023,1
SA Tourism Commission,https://data.sa.gov.au/data/dataset/executive-employment-reporting-south-australian-tourism-commission,cc-by,True,,"Number of Executives 2012-13, Number of Executives 2013-14, Number of Executives 2014-15, Number of Executives 2015-16, Number of Executives 2018-19, Number of Executives 2019-20, Number of Executives 2020-21, Number of Executives 2021-22, Number of Executives 2022-23, Number of Executives 2023-24, Number of Executives 2024-25, Number of executives 2016-17, Number of executives 2017-18",91
South Australian Housing Trust,https://data.sa.gov.au/data/dataset/south-australian-housing-trust-annual-report-executive-employment,cc-by,True,,"2018-19, 2019-20, 2020-21, 2021-22",14
South Australian Mental Health Commission,https://data.sa.gov.au/data/dataset/executive-employment-sa-mental-health-commission,cc-by,True,,"2015-16, 2016-17, 2017-18, As at 30 June 2019",8
South Australian Metropolitan Fire Service,https://data.sa.gov.au/data/dataset/annual-report-data-executive-employment,cc-by,True,,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23",42
South Australian Museum,https://data.sa.gov.au/data/dataset/south-australian-museum-executive-employment,cc-by,True,,"2013-14, 2014-15, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",19
State Opera of South Australia,https://data.sa.gov.au/data/dataset/state-opera-south-australia-executive-employment,cc-by,True,,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",12
State Theatre Company South Australia,https://data.sa.gov.au/data/dataset/state-theatre-company-south-australia-executive-employment-from-2012-2020,cc-by,True,,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",33
TAFE SA,https://data.sa.gov.au/data/dataset/tafe-sa-executive-employment-historical-trend,cc-by,True,,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",48
Teachers Registration Board of South Australia,https://data.sa.gov.au/data/dataset/executive-employment-at-trbsa,cc-by,True,,"2015-16, 2016-17, 2017-18, 2018-19, 2019-20",20
Windmill Theatre Co,https://data.sa.gov.au/data/dataset/windmill-theatre-co-executive-employment,cc-by,True,,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20",14
