financial_year,indicator,unit,ward_type,value,partial_year_footnote
2016-17,Community follow-up within 7 days of discharge,proportion,General Acute Adult,0.693,
2016-17,Community follow-up within 7 days of discharge,proportion,General Acute Older Persons,0.789,
2016-17,Community follow-up within 7 days of discharge,proportion,Short Stay,0.509,
2016-17,Community follow-up within 7 days of discharge,proportion,Specialist acute,0.7,
2016-17,Readmission within 28 days,proportion,All Adult acute wards combined,0.146,
2016-17,Readmission within 28 days,proportion,All acute wards combined,0.144,
2016-17,Readmission within 28 days,proportion,Child & Adolescent acute,0.218,
2016-17,Readmission within 28 days,proportion,Forensic acute,0.077,
2016-17,Readmission within 28 days,proportion,General Acute Adult,0.141,
2016-17,Readmission within 28 days,proportion,General Acute Older Persons,0.06,
2016-17,Readmission within 28 days,proportion,Short Stay,0.171,
2016-17,Readmission within 28 days,proportion,Specialist acute,0.126,
2017-18,Average length of stay,days,All Adult acute wards combined,10.5,b
2017-18,Average length of stay,days,All acute wards combined,11.7,b
2017-18,Average length of stay,days,Child & Adolescent acute,3.9,b
2017-18,Average length of stay,days,Forensic acute,17.1,b
2017-18,Average length of stay,days,General Acute Adult,12,b
2017-18,Average length of stay,days,General Acute Older Persons,32.8,b
2017-18,Average length of stay,days,Short Stay,2.1,b
2017-18,Average length of stay,days,Specialist acute,18.6,b
2017-18,Community follow-up within 7 days of discharge,proportion,All Adult acute wards combined,0.673,d
2017-18,Community follow-up within 7 days of discharge,proportion,All acute wards combined,0.683,d
2017-18,Community follow-up within 7 days of discharge,proportion,Child & Adolescent acute,0.866,d
2017-18,Community follow-up within 7 days of discharge,proportion,Forensic acute,0.07,d
2017-18,Community follow-up within 7 days of discharge,proportion,General Acute Adult,0.705,d
2017-18,Community follow-up within 7 days of discharge,proportion,General Acute Older Persons,0.743,d
2017-18,Community follow-up within 7 days of discharge,proportion,Short Stay,0.55,d
2017-18,Community follow-up within 7 days of discharge,proportion,Specialist acute,0.678,d
2017-18,Readmission within 28 days,proportion,All Adult acute wards combined,0.147,c
2017-18,Readmission within 28 days,proportion,All acute wards combined,0.143,c
2017-18,Readmission within 28 days,proportion,Child & Adolescent acute,0.203,c
2017-18,Readmission within 28 days,proportion,Forensic acute,0.093,c
2017-18,Readmission within 28 days,proportion,General Acute Adult,0.143,c
2017-18,Readmission within 28 days,proportion,General Acute Older Persons,0.049,c
2017-18,Readmission within 28 days,proportion,Short Stay,0.182,c
2017-18,Readmission within 28 days,proportion,Specialist acute,0.094,c
