STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,169,3197,16478,24347,27010,29863,52253,153317,5.30%
VIC,93,6206,28812,33553,31353,29534,38450,168001,7.60%
QLD,53,3222,16513,22767,25329,26220,37760,131864,7.40%
SA,2896,9181,11281,11573,12785,13317,21043,82076,12.40%
WA,41,4101,16896,19843,20419,19635,24793,105728,10.80%
TAS,7,735,2640,3056,3711,4367,5593,20109,9.90%
NT,2,158,877,1040,1093,978,681,4829,5.10%
ACT,7,724,3077,3169,2903,2557,2926,15363,10.30%
TOTAL,3268,27524,96574,119348,124603,126471,183499,681287,7.60%
