STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,394535,22.23%,0.49%
VIC,445063,25.08%,0.32%
QLD,350883,19.77%,0.22%
SA,201367,11.35%,0.46%
WA,275773,15.54%,0.11%
TAS,54167,3.05%,0.08%
NT,13438,0.76%,-0.10%
ACT,39515,2.23%,0.27%
TOTAL,1774741,100.00%,0.31%
