financial_year,region,direct_tourism_jobs
2006-07,South Australia,32300
2007-08,South Australia,32000
2008-09,South Australia,34600
2009-10,South Australia,35700
2010-11,South Australia,35500
2011-12,South Australia,32900
2012-13,South Australia,31300
2013-14,South Australia,35500
2014-15,South Australia,38900
2015-16,South Australia,36700
