STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,327245,22.03%,0.43%
VIC,361227,24.32%,0.79%
QLD,309806,20.86%,0.44%
SA,153231,10.32%,0.78%
WA,244235,16.45%,0.63%
TAS,45851,3.09%,0.43%
NT,11849,0.80%,1.24%
ACT,31710,2.14%,0.82%
TOTAL,1485154,100.00%,0.60%
