service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Penola Multi-Purpose Service,18 Church Street,PENOLA,SA,5277,South East,Multi-Purpose Service,36,,,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41156,Penola,40702,Limestone Coast,Wattle Range,48340,PHN402,Country SA,-37.377018,140.836649999999,2717398.0300000003
Resthaven Mount Gambier,24 Elizabeth Street,MOUNT GAMBIER,SA,5290,South East,Residential,102,,,Resthaven Inc,Charitable,Outer Regional Australia,3,MM3 - Large Rural Towns,41174,Mount Gambier - West,40702,Limestone Coast,Mount Gambier,44620,PHN402,Country SA,-37.8261019999999,140.777868,11522476.7
Crystal Brook Multi-Purpose Service,Edmund Terrace,CRYSTAL BROOK,SA,5523,Mid North,Multi-Purpose Service,12,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41123,Port Pirie Region,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.354429,138.212986,1063759.72
Coober Pedy Multi-Purpose Service,Lot 89 Hospital Road,COOBER PEDY,SA,5723,Flinders & Far North,Multi-Purpose Service,6,,,Eyre and Far North Local Health Network Incorporated,State Government,Very Remote Australia,7,MM7 - Very Remote Communities,41139,Coober Pedy,40602,Outback - North and East,Coober Pedy,41330,PHN402,Country SA,-28.996665,134.761613,467591.48
Quorn Multi-Purpose Service,Quorn Health Service Hospital Road,QUORN,SA,5433,Flinders & Far North,Multi-Purpose Service,30,,,Flinders and Upper North Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41140,Quorn - Lake Gilles,40602,Outback - North and East,Flinders Ranges,41830,PHN402,Country SA,-32.3506909999999,138.036313,2343846.75
Helping Hand Aged Care - Lightsview,1 East Parkway,LIGHTSVIEW,SA,5085,Metropolitan North,Residential,110,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.862079,138.635533,12437604.94
Estia Health Lockleys,334-342 Henley Beach Road,LOCKLEYS,SA,5032,Metropolitan West,Residential,119,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41106,Lockleys,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.92461,138.543704999999,10149918.34
Resthaven Port Elliot,3 Frederik Street,PORT ELLIOT,SA,5212,"Hills, Mallee & Southern",Residential,94,,,Resthaven Inc,Charitable,Inner Regional Australia,3,MM3 - Large Rural Towns,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.529851,138.675557999999,10203038.76
Port Pirie Regional Health Service - Hammill House,151 The Terrace -,PORT PIRIE,SA,5540,Mid North,Residential,30,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.176651,138.005530999999,2201491.97
Oakfield Lodge Residential Care,15 Hawthorn Road,MOUNT BARKER,SA,5251,"Hills, Mallee & Southern",Residential,80,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,3,MM3 - Large Rural Towns,41007,Mount Barker,40102,Adelaide Hills,Mount Barker,44550,PHN402,Country SA,-35.06709,138.850531999999,9170225.42
Jamestown Hospital and Health Service,South Terrace,JAMESTOWN,SA,5491,Mid North,Residential,13,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41120,Jamestown,40503,Mid North,Northern Areas,45120,PHN402,Country SA,-33.211402,138.600665999999,1847628.67
Central Adelaide Local Health Network - Transition Care Program,"Unit 1, The Parks Community Centre, 46 Cowan Street",ANGLE PARK,SA,5010,Metropolitan West,Transition Care,0,,152,Department of Health and Wellbeing,State Government,Major Cities of Australia,1,MM1 - Metropolitan Areas,41102,The Parks,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.857841,138.557067999999,9752657.82
ACH Group Hills Mallee Southern,176 Main S Road,YANKALILLA,SA,5203,"Hills, Mallee & Southern",Home Care,0,,,Aged Care & Housing Group Inc,Charitable,Inner Regional Australia,5,MM5 - Small Rural Towns,41149,Yankalilla,40701,Fleurieu - Kangaroo Island,Yankalilla,48750,PHN402,Country SA,-35.4558719999999,138.33652,0
Barossa Hills Fleurieu Home Care Packages,87 Wellington Road,MOUNT BARKER,SA,5251,"Hills, Mallee & Southern",Home Care,0,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,3,MM3 - Large Rural Towns,41007,Mount Barker,40102,Adelaide Hills,Mount Barker,44550,PHN402,Country SA,-35.0853609999999,138.872119999999,8285787.92
"Kincare SA - Yorke, Lower North, Barossa",35 King William Road,UNLEY,SA,5061,Metropolitan East,Home Care,0,,,KinCare Health Services Pty Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.9442579999999,138.599728999999,51370.63
SCC Homecare (Fleurieu Level 4),1 Wildman Street,GOOLWA,SA,5214,"Hills, Mallee & Southern",Home Care,0,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,MM3 - Large Rural Towns,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.503207,138.783106,4150695.71
