service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Resthaven Northern Community Services,16 Gillingham Road,ELIZABETH,SA,5112,Metropolitan North,Home Care,0,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41030,Elizabeth,40202,Playford,Playford,45680,PHN401,Adelaide,-34.714716,138.668152999999,14642728.28
Polish Federation Community Care Packages,230 Angas Street,ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Federation of Polish Organisations in SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.929223,138.609461,2458296.66
RDNS Metropolitan South,31 Flemington Street,GLENSIDE,SA,5065,Metropolitan East,Home Care,0,,,Royal District Nursing Service of SA Incorporated,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.945596,138.631904999999,20337676.46
RDNS Metropolitan West,31 Flemington Street,GLENSIDE,SA,5065,Metropolitan East,Home Care,0,,,Royal District Nursing Service of SA Incorporated,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.945596,138.631904999999,40729.45
Resthaven Paradise and Eastern Community Services,61 Silkes Road,PARADISE,SA,5075,Metropolitan East,Home Care,0,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8675659999999,138.684798999999,10557906.64
Resthaven Riverland Community Services,7 Wilson Street,BERRI,SA,5343,Riverland,Home Care,0,,,Resthaven Inc,Charitable,Outer Regional Australia,5,MM5 - Small Rural Towns,41160,Berri,40703,Murray and Mallee,Berri Barmera,40520,PHN402,Country SA,-34.2858099999999,140.599816,15840392.63
Riverland Home Care Packages,24 Howdon Street,BARMERA,SA,5345,Riverland,Home Care,0,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41159,Barmera,40703,Murray and Mallee,Berri Barmera,40520,PHN402,Country SA,-34.2480929999999,140.468195,13402963.27
Rural Extended Care,1 Gawler Street,NURIOOTPA,SA,5355,"Yorke, Lower North & Barossa",Home Care,0,,,Barossa Village Inc,Community Based,Inner Regional Australia,4,MM4 - Medium Rural Towns,41114,Nuriootpa,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.473063,138.994706,127166.37
Limestone Coast Home Care Packages,22 Sturt Street,MOUNT GAMBIER,SA,5290,South East,Home Care,0,,,Limestone Coast Local Health Network Incorporated,State Government,Inner Regional Australia,3,MM3 - Large Rural Towns,41173,Mount Gambier - East,40702,Limestone Coast,Mount Gambier,44620,PHN402,Country SA,-37.8316069999999,140.782102,8733192.83
Southern Care at Home,"Suite 1, 455-457 Morphett Road",OAKLANDS PARK,SA,5046,Metropolitan South,Home Care,0,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.0139399999999,138.540995,6833903.05
SCC Homecare (West Level 2),25 Conyngham Street,GLENSIDE,SA,5065,Metropolitan East,Home Care,0,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.942061,138.633236,5056411.02
SCC Homecare (Fleurieu Level 2),1 Wildman Street,GOOLWA,SA,5214,"Hills, Mallee & Southern",Home Care,0,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,MM3 - Large Rural Towns,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.503207,138.783106,374605
SCC Homecare (North Level 1 -4),25 Conyngham Street,GLENSIDE,SA,5065,Metropolitan East,Home Care,0,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.942061,138.633236,2221758.16
Life Care at Home South,28 Fourth Avenue,EVERARD PARK,SA,5053,Metropolitan East,Home Care,0,,,CHURCHES OF CHRIST LIFE CARE LIMITED,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41023,Goodwood - Millswood,40107,Unley,Unley,47980,PHN401,Adelaide,-34.955728,138.576219,7185456.81
St Louis Home Care SA Metro East,11 Dudley Road,MARRYATVILLE,SA,5068,Metropolitan East,Home Care,0,,,St Louis Community Care Packages Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.92768,138.649698,15486798.91
St Louis Home Care SA Metro South,11 Dudley Road,MARRYATVILLE,SA,5068,Metropolitan East,Home Care,0,,,St Louis Community Care Packages Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.92768,138.649698,1155414.62
Star of the Sea Community Care,15 Elizabeth Street,WALLAROO,SA,5556,"Yorke, Lower North & Barossa",Home Care,0,,,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,5,MM5 - Small Rural Towns,41126,Wallaroo,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-33.931587,137.630411,3304689.31
Thuiszorg SA,1 Madras Street,OAKLANDS PARK,SA,5046,Metropolitan South,Home Care,0,,,Rembrandt Living Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.002178,138.542698999999,61745.36
Whyalla Home Support Program,25 Newton Street,WHYALLA,SA,5600,Eyre Peninsula,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,3,MM3 - Large Rural Towns,41136,Whyalla,40601,Eyre Peninsula and South West,Whyalla,48540,PHN402,Country SA,-33.042233,137.571255,1428012.19
Whyalla Home Support Program,25 Newton Street,WHYALLA,SA,5600,Eyre Peninsula,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,3,MM3 - Large Rural Towns,41136,Whyalla,40601,Eyre Peninsula and South West,Whyalla,48540,PHN402,Country SA,-33.042233,137.571255,89920.49
HenderCare Aged Care Services,"Level 3, 81 Flinders Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,HenderCare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.9272259999999,138.603927999999,10717312.5
Community Aged Care Programs Metro West,9 Albert Street,SEMAPHORE,SA,5019,Metropolitan West,Home Care,0,,,UnitingSA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41099,Largs Bay - Semaphore,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.842174,138.480772999999,6938989.84
ACH Group Home Care Metro West,22 Gordon Street,GLENELG,SA,5045,Metropolitan South,Home Care,0,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41057,Glenelg (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-34.978852,138.518013999999,8556607.88
Resthaven Western Community Service,96 Woodville Road,WOODVILLE,SA,5011,Metropolitan West,Home Care,0,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.875819,138.540492999999,13937520.18
Home Support Services - Consumer Directed Home Care - Metro North,"LEVEL 1, 440 KING WILLIAM STREET",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Amplar Home Health,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.935426,138.600887,3333501.14
SCC Homecare (East Level 1-4),25 Conyngham Street,GLENSIDE,SA,5065,Metropolitan East,Home Care,0,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.942061,138.633236,3895138.5
St Louis Home Care SA Metro GLBTI,11 Dudley Road,MARRYATVILLE,SA,5068,Metropolitan East,Home Care,0,,,St Louis Community Care Packages Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.92768,138.649698,285846.41
Care Services for Older People Metro Wide,"Level 5, 43 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927667,138.597411999999,1333862.91
Pennwood Home Care,19 Windsor Avenue,PENNINGTON,SA,5013,Metropolitan West,Home Care,0,,,Serbian Community Welfare Association of SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.858345,138.536407999999,4043976.75
SCC Homecare (South level 2),25 Conyngham Street,GLENSIDE,SA,5065,Metropolitan East,Home Care,0,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.942061,138.633236,4058141.8
My Choice,77 Gibson Street,BOWDEN,SA,5007,Metropolitan West,Home Care,0,,,UnitingCare Wesley Bowden Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.902652,138.580819999999,40729.45
Barunga Home Care - Mid North,11 Edmund Street,PORT BROUGHTON,SA,5522,"Yorke, Lower North & Barossa",Home Care,0,,,Barunga Village Incorporated,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Barunga West,40430,PHN402,Country SA,-33.601818,137.932561999999,286985.14
Resthaven Aberfoyle Park,100 Hub Drive,ABERFOYLE PARK,SA,5159,Metropolitan South,Residential,104,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41071,Aberfoyle Park,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.07524,138.596534999999,11094138.19
"Kincare SA - Mid North, Yorke, Lower North, Barossa","3, 53-57 Glen Osmond Road",EASTWOOD,SA,5063,Metropolitan East,Home Care,0,,,KinCare Health Services Pty Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.943392,138.620282,10342186.02
Country Community Care - Mid North,31 Gertrude Street,PORT PIRIE,SA,5540,Mid North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.17472,138.007102,64191.99
Country Community Care,113 Gertrude Street,PORT PIRIE,SA,5540,Mid North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.1800339999999,138.008278999999,137887.44
Helping Hand Aged Care - Golden Grove,209 The Golden Way,GOLDEN GROVE,SA,5125,Metropolitan North,Residential,110,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41049,Golden Grove,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.791094,138.695558,12438636.56
ECH Inc - Gawler and Lower North Country Home Services,18 North East Road,WALKERVILLE,SA,5081,Metropolitan East,Home Care,0,,,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41022,Walkerville,40106,Prospect - Walkerville,Walkerville,48260,PHN401,Adelaide,-34.891868,138.611366,826244.73
ECH Inc - Eastern Home Services,18 North East Road,WALKERVILLE,SA,5081,Metropolitan East,Home Care,0,,,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41022,Walkerville,40106,Prospect - Walkerville,Walkerville,48260,PHN401,Adelaide,-34.891868,138.611366,12308191.82
Cowell Multi-Purpose Service,17 South Terrace,COWELL,SA,5602,Eyre Peninsula,Multi-Purpose Service,22,2,,Eyre and Far North Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41131,Kimba - Cleve - Franklin Harbour,40601,Eyre Peninsula and South West,Franklin Harbour,41960,PHN402,Country SA,-33.685487,136.922947999999,2207175.0300000003
Kimba Multi-Purpose Service,15 Martin Terrace,KIMBA,SA,5641,Eyre Peninsula,Multi-Purpose Service,22,2,,Eyre and Far North Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41131,Kimba - Cleve - Franklin Harbour,40601,Eyre Peninsula and South West,Kimba,43220,PHN402,Country SA,-33.143532,136.415863999999,2207175.0300000003
Hawker Multi-Purpose Service,"Hawker Memorial Hospital, 9 Druid Drive",HAWKER,SA,5434,Flinders & Far North,Multi-Purpose Service,8,,,Flinders and Upper North Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41140,Quorn - Lake Gilles,40602,Outback - North and East,Flinders Ranges,41830,PHN402,Country SA,-31.893609,138.427854999999,710517.56
Cummins Multi-Purpose Service,21 TUMBY BAY Road,CUMMINS,SA,5631,Eyre Peninsula,Multi-Purpose Service,22,,,Eyre and Far North Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41130,Eyre Peninsula,40601,Eyre Peninsula and South West,Lower Eyre Peninsula,43710,PHN402,Country SA,-34.2642469999999,135.732836999999,2159126.43
Burra MPS,46 Commercial Street,BURRA,SA,5417,"Yorke, Lower North & Barossa",Multi-Purpose Service,16,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41118,Goyder,40502,Lower North,Goyder,42110,PHN402,Country SA,-33.6854859999999,138.934576999999,1418797.44
Pinnaroo Multi-Purpose Service,1 Bundey Terrace,PINNAROO,SA,5304,"Hills, Mallee & Southern",Multi-Purpose Service,31,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41161,Karoonda - Lameroo,40703,Murray and Mallee,Southern Mallee,47290,PHN402,Country SA,-35.258273,140.903438999999,2744591.14
Karoonda Multi-Purpose Service,13 Stokes Road,KAROONDA,SA,5307,"Hills, Mallee & Southern",Multi-Purpose Service,26,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41161,Karoonda - Lameroo,40703,Murray and Mallee,Karoonda East Murray,43080,PHN402,Country SA,-35.093738,139.889476999999,2093353.0900000003
Elliston Multi-Purpose Service,3 Memorial Drive,ELLISTON,SA,5670,Eyre Peninsula,Multi-Purpose Service,16,,,Mid-West Health & Aged Care Inc,State Government,Very Remote Australia,7,MM7 - Very Remote Communities,41132,Le Hunte - Elliston,40601,Eyre Peninsula and South West,Elliston,41750,PHN402,Country SA,-33.647255,134.891038,1769022.2400000002
Streaky Bay Multi-Purpose Service,3 Flinders Drive,STREAKY BAY,SA,5680,Eyre Peninsula,Multi-Purpose Service,26,,,Mid-West Health & Aged Care Inc,State Government,Very Remote Australia,6,MM6 - Remote Communities,41134,West Coast (SA),40601,Eyre Peninsula and South West,Streaky Bay,47490,PHN402,Country SA,-32.7923649999999,134.218644,2457355.51
Laura Multi-Purpose Service,55 MILL STREET,LAURA,SA,5480,Mid North,Multi-Purpose Service,12,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41120,Jamestown,40503,Mid North,Northern Areas,45120,PHN402,Country SA,-33.1751429999999,138.298473,1063759.72
Meningie Multi-Purpose Service,2 South Terrace,MENINGIE,SA,5264,"Hills, Mallee & Southern",Multi-Purpose Service,10,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41169,The Coorong,40703,Murray and Mallee,Coorong,47800,PHN402,Country SA,-35.69268,139.334700999999,887843.4
Oak Valley Multi-Purpose Service,Main -,OAK VALLEY,SA,5690,Flinders & Far North,Multi-Purpose Service,11,,,Eyre and Far North Local Health Network Incorporated,State Government,Very Remote Australia,7,MM7 - Very Remote Communities,41135,Western,40601,Eyre Peninsula and South West,Maralinga Tjarutja,44000,PHN402,Country SA,-29.4014799999999,130.739769999999,1213133.0700000003
Anglicare SA Home Care Gawler,159 Port Road,HINDMARSH,SA,5007,Metropolitan West,Home Care,0,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.9051729999999,138.572948999999,654683.94
Aboriginal CDC Home Packaged Program,3 Ninth Street,BOWDEN,SA,5007,Metropolitan West,Home Care,0,,,The Aboriginal Elders and Community Care Services Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.9029069999999,138.580463,17917247.48
Helping Hand Metro South Home Care Packages,1538 Main North Road,SALISBURY SOUTH,SA,5108,Metropolitan North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.78361,138.650599,61745.36
"UnitingCare Flinders, Far North","Level 5, 43 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927667,138.597411999999,937777.5
UnitingCare South East,"Level 5, 43 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927667,138.597411999999,299078.79
Prompt Care South Australia,"Shop 1, 148 The Parade",NORWOOD,SA,5067,Metropolitan East,Home Care,0,,,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.921514,138.634602999999,1079270.46
Continuum Care Australia,3 Caradoc Court,GOLDEN GROVE,SA,5125,Metropolitan North,Home Care,0,,,Continuum Care Australia Pty. Ltd.,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41053,Modbury Heights,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.795571,138.699582999999,3806812.34
Aunty Grace Clients Pty Ltd,34 Frederick Drive,STREAKY BAY,SA,5680,Eyre Peninsula,Home Care,0,,,Aunty Grace Clients Pty Ltd,Private Incorporated Body,Very Remote Australia,7,MM7 - Very Remote Communities,41134,West Coast (SA),40601,Eyre Peninsula and South West,Streaky Bay,47490,PHN402,Country SA,-32.782243,134.236919999999,42723262.02
Direct Care Home Care Packages Adelaide,510 Lower North East Road,CAMPBELLTOWN,SA,5074,Metropolitan East,Home Care,0,,,Direct Care (Australia) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.888359,138.657681999999,7028466.62
Life Without Barriers Home Care Packages Program - South Australia,100 Greenhill Road,UNLEY,SA,5061,Metropolitan East,Home Care,0,,,Life Without Barriers,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.9415759999999,138.600804,1732044.44
Barossa Hills Fleurieu Local Health Network,222 King William Street,ADELAIDE,SA,5000,Metropolitan East,Short-Term Restorative Care (STRC),0,,14,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927159,138.599956999999,285482.22
ACH Group - ViTA North @ Home,163 Montacute Road,NEWTON,SA,5074,Metropolitan East,Short-Term Restorative Care (STRC),0,,27,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.888105,138.677436,784035.6
Resthaven Marion Community Services,43 Finniss Street,MARION,SA,5043,Metropolitan South,Short-Term Restorative Care (STRC),0,,17,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41061,Mitchell Park,40302,Marion,Marion,44060,PHN401,Adelaide,-35.011417,138.554132,1559075.6
FHSS - Home Care Packages,64 FULLARTON ROAD,NORWOOD,SA,5067,Metropolitan East,Home Care,0,,,Family Home Support Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.9208459999999,138.623603,1778974.78
Accept Care Group - Home Care Packages,26 King William Road,NORTH ADELAIDE,SA,5006,Metropolitan East,Home Care,0,,,Accept Caregroup Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41002,North Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.9125549999999,138.598966999999,8098510.67
Inhome Care SA,66 HENLEY BEACH ROAD,MILE END,SA,5031,Metropolitan West,Home Care,0,,,Inhome Care SA Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41108,Richmond (SA),40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.9231229999999,138.574013,13397546.37
Wirraminna Care Home Care Packages,11  MEMORIAL DRIVE,WILLIAMSTOWN,SA,5351,"Yorke, Lower North & Barossa",Home Care,0,,,Wirraminna Care Incorporated,Community Based,Inner Regional Australia,3,MM3 - Large Rural Towns,41112,Lyndoch,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.6699929999999,138.890839999999,1148967.13
Jewish Community Services,433 MAGILL ROAD,ST MORRIS,SA,5068,Metropolitan East,Home Care,0,,,Jewish Community Services Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.913646,138.656088,1616635.3
Lower Lakes Home Care,24 Daranda Terrace,MILANG,SA,5256,"Hills, Mallee & Southern",Home Care,0,,,MILANG AND DISTRICT COMMUNITY ASSOCIATION INCORPORATED,Charitable,Inner Regional Australia,5,MM5 - Small Rural Towns,41147,Strathalbyn Region,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.4062119999999,138.973775999999,2131874.4
Parkview Community Care,Hospital 5-8 Majors Road,MOONTA,SA,5558,"Yorke, Lower North & Barossa",Home Care,0,,,Moonta Health & Aged Care Services Inc,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41125,Moonta,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-34.061329,137.589766999999,3230954.67
Healthia,26 Mark Road,ELIZABETH SOUTH,SA,5112,Metropolitan North,Residential,84,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41030,Elizabeth,40202,Playford,Playford,45680,PHN401,Adelaide,-34.748986,138.667649,9672267.66
West Coast Community Services Inc t/as West Coast Homecare,56 St Andrews Terrace,PORT LINCOLN,SA,5606,Eyre Peninsula,Home Care,0,,,West Coast Community Services Incorporated,Community Based,Remote Australia,6,MM6 - Remote Communities,41133,Port Lincoln,40601,Eyre Peninsula and South West,Port Lincoln,46300,PHN402,Country SA,-34.732388,135.865902,8547402.99
Australian Migrant Resource Centre Aged Care,23 Coglin Street,ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Australian Migrant Resource Centre Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.931125,138.598014,4891701.52
Clincare STRC,"Unit 1, 115 Sherriff Street",UNDERDALE,SA,5032,Metropolitan West,Short-Term Restorative Care (STRC),0,,10,Clincare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41106,Lockleys,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.916164,138.551216,741263.8
Chinese Welfare Services of SA Inc,224 Grote Street,ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Chinese Welfare Services of South Australia Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.928825,138.590732,5652000.37
Yellow Door Care Pty Ltd,139 Gilles Street,ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Yellow Door Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.934255,138.60551,3601895.67
Semsley PTY LTD T/A KompleteCare Community and Home Care Services,492 Churchill Road,KILBURN,SA,5084,Metropolitan North,Home Care,0,,,KompleteCare Community and Home Care,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.8556099999999,138.581107,24127762.62
Amber Home Care,50 Avenue Road,PARADISE,SA,5075,Metropolitan East,Home Care,0,,,Amber Aged Care Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.871124,138.678630999999,0
Lingcare,139 ANZAC HIGHWAY,KURRALTA PARK,SA,5037,Metropolitan West,Home Care,0,,,Lingcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41107,Plympton,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.954596,138.568580999999,5647949.24
Adelaide Quality Care,201 Walkerville Terrace,WALKERVILLE,SA,5081,Metropolitan East,Home Care,0,,,Adelaide Quality Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41022,Walkerville,40106,Prospect - Walkerville,Walkerville,48260,PHN401,Adelaide,-34.89054,138.623583999999,4375722.53
