STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2206892,46.18%,-0.08%
VIC,502115,10.51%,-0.05%
QLD,702067,14.69%,-0.10%
SA,594192,12.43%,0.22%
WA,558516,11.69%,-0.21%
TAS,173453,3.63%,-0.16%
NT,10417,0.22%,-0.16%
ACT,31035,0.65%,0.05%
Other,160,0.00%,0.00%
TOTAL,4778847,100.00%,-0.06%
