STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1992491,46.81%,-0.05%
VIC,428762,10.07%,-0.05%
QLD,617822,14.52%,-0.03%
SA,601963,14.14%,0.36%
WA,442995,10.41%,-0.02%
TAS,140802,3.31%,-0.10%
NT,7195,0.17%,-0.08%
ACT,24279,0.57%,-0.08%
TOTAL,4256309,100.00%,0.01%
