STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,65742,208721,238837,224037,165034,139797,1042168,38.93%
VIC,9966,44055,43640,39298,28924,23492,189375,9.53%
QLD,53079,90977,78900,51917,32469,20994,328336,20.77%
SA,30266,55640,55700,55619,43806,36162,277193,45.07%
WA,3891,43136,59017,54996,41152,33833,236025,29.23%
TAS,825,12724,17465,17647,13324,12218,74203,39.40%
NT,146,539,1112,901,570,254,3522,4.32%
ACT,465,2046,2795,2479,1843,1242,10870,8.44%
TOTAL,164380,457838,497466,446894,327122,267992,2161692,26.80%
