STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2044028,47.19%,-0.47%
VIC,450213,10.39%,-0.50%
QLD,632721,14.61%,0.28%
SA,547095,12.63%,0.65%
WA,476364,11.00%,-0.13%
TAS,147503,3.41%,0.22%
NT,8183,0.19%,-9.96%
ACT,25767,0.59%,0.85%
TOTAL,4331874,100.00%,-0.18%
