STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,177,8109,31832,40565,37319,39423,52606,210031,7.05%
VIC,385,21071,54994,53699,41305,37231,38726,247411,10.74%
QLD,375,13850,36351,41849,37974,35552,36674,202625,11.14%
SA,2156,13215,16008,17130,16662,17142,20824,103137,15.07%
WA,186,14779,33816,33010,29423,25910,24379,161503,17.54%
TAS,107,2661,5276,5870,5966,6042,5338,31260,15.04%
NT,22,767,2231,1912,1652,1134,550,8268,9.86%
ACT,64,2093,5336,4502,3584,3015,2928,21522,14.50%
TOTAL,3472,76545,185844,198537,173885,165449,182025,985757,10.78%
