STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,347195,21.57%,0.41%
VIC,399239,24.80%,0.65%
QLD,327709,20.36%,0.37%
SA,173699,10.79%,0.81%
WA,263489,16.37%,0.25%
TAS,50028,3.10%,0.69%
NT,13020,0.81%,0.86%
ACT,35434,2.20%,0.67%
TOTAL,1609813,100.00%,0.50%
