STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2002772,47.07%,-0.04%
VIC,433232,10.18%,-0.14%
QLD,619267,14.55%,-0.03%
SA,579180,13.61%,0.22%
WA,446538,10.49%,-0.12%
TAS,142712,3.35%,-0.07%
NT,7290,0.17%,-0.30%
ACT,24299,0.57%,-0.17%
TOTAL,4255290,100.00%,-0.02%
