"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Other","Aust"
"11A.2","2018-19","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Operational / corporate support","","","","CAA (unpublished)","no.","46","0","1","400","226","0","0","0","","673"
"11A.2","2018-19","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Total","","","","Derived from CAA (unpublished)","no.","104","858","136","3626","1501","456","0","0","","6681"
"11A.2","2018-19","Human resources","All ages","Males","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2018-19","Human resources","All ages","Females","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2018-19","Human resources","All ages","Other","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2018-19","Human resources","All ages","All people","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2018-19","Human resources","All ages","All people","All people","All areas","","Community first responders","","","","","CAA (unpublished)","no.","283","343","144","391","41","29","0","0","","1231"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Patient transport officers","","","CAA (unpublished)","no.","0","59","241","152","59","19","11","21","","561"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","","","CAA (unpublished)","no.","499","411","44","170","72","55","27","14","","1291"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","","","CAA (unpublished)","no.","2848","3199","3250","572","866","262","149","92","","11239"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Clinical other","","","CAA (unpublished)","no.","57","27","0","2","57","8","0","0","","150"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Communications operatives","","","CAA (unpublished)","no.","354","123","461","95","113","34","40","33","","1252"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","","","Derived from CAA (unpublished)","no.","3758","3818","3996","991","1166","378","227","160","","14494"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Proportion of total salaried personnel","","","Derived from CAA (unpublished)","%","83.4","79.6","88.3","67.2","77.2","81.7","82.3","72.1","","81.5"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","6.3","6.5","0.9","6.5","4.1","10.3","6.4","5.7","","5.2"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","36.0","50.3","65.5","22.0","49.9","49.4","35.5","37.3","","45.4"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","42.4","56.8","66.4","28.5","54.0","59.7","42.0","42.9","","50.6"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Operational support personnel","","","","CAA (unpublished)","no.","472","557","231","225","165","52","30","34","","1766"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Corporate support personnel","","","","CAA (unpublished)","no.","277","424","300","259","180","33","19","28","","1519"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Total ambulance service workforce","","","","Derived from CAA (unpublished)","no.","4507","4799","4527","1474","1511","462","276","222","","17779"
"11A.2","2017-18","Human resources","All ages","Males","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","Females","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","Other","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Ambulance operatives","","","","Derived from CAA (unpublished)","no.","63","879","129","3113","1351","438","0","0","","5973"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Operational / corporate support","","","","CAA (unpublished)","no.","41","0","1","269","220","0","0","0","","531"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Total","","","","Derived from CAA (unpublished)","no.","104","879","130","3382","1571","438","0","0","","6504"
"11A.2","2017-18","Human resources","All ages","Males","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","Females","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","Other","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2017-18","Human resources","All ages","All people","All people","All areas","","Community first responders","","","","","CAA (unpublished)","no.","245","329","138","180","55","29","0","0","","976"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Patient transport officers","","","CAA (unpublished)","no.","0","62","201","133","70","18","14","21","","519"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","","","CAA (unpublished)","no.","364","574","23","131","67","33","0","9","","1201"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","","","CAA (unpublished)","no.","2831","2827","3093","610","772","253","146","87","","10618"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Clinical other","","","CAA (unpublished)","no.","55","19","0","3","47","2","0","0","","125"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Communications operatives","","","CAA (unpublished)","no.","317","100","451","93","113","32","34","27","","1167"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","","","Derived from CAA (unpublished)","no.","3567","3582","3768","970","1069","338","194","144","","13630"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Proportion of total salaried personnel","","","Derived from CAA (unpublished)","%","83.1","79.4","87.9","63.9","76.5","81.7","75.6","73.8","","80.8"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","4.7","9.2","0.5","5.1","3.9","6.3","0","3.7","","4.9"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","36.3","45.3","63.3","23.7","44.9","48.5","35.7","35.2","","43.5"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","41.0","54.5","63.8","28.8","48.8","54.8","35.7","38.8","","48.5"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Operational support personnel","","","","CAA (unpublished)","no.","465","509","229","222","155","51","33","25","","1689"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Corporate support personnel","","","","CAA (unpublished)","no.","260","418","291","325","174","25","30","26","","1549"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Total ambulance service workforce","","","","Derived from CAA (unpublished)","no.","4292","4509","4288","1517","1397","414","257","195","","16868"
"11A.2","2016-17","Human resources","All ages","Males","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","Females","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","Other","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Ambulance operatives","","","","Derived from CAA (unpublished)","no.","63","798","139","3257","1347","425","0","71","","6100"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Operational / corporate support","","","","CAA (unpublished)","no.","41","0","1","198","229","0","0","0","","469"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Total","","","","Derived from CAA (unpublished)","no.","104","798","140","3455","1576","425","0","71","","6569"
"11A.2","2016-17","Human resources","All ages","Males","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","Females","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","Other","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2016-17","Human resources","All ages","All people","All people","All areas","","Community first responders","","","","","CAA (unpublished)","no.","245","310","133","0","44","32","0","95","","859"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Patient transport officers","","","CAA (unpublished)","no.","1","58","184","124","57","17","10","17","","468"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","","","CAA (unpublished)","no.","258","352","12","131","35","23","0","0","","811"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","","","CAA (unpublished)","no.","2818","2704","3006","602","738","249","154","88","","10359"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Clinical other","","","CAA (unpublished)","no.","53","13","0","1","48","1","0","0","","117"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Communications operatives","","","CAA (unpublished)","no.","302","81","454","87","103","29","29","49","","1134"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","","","Derived from CAA (unpublished)","no.","3432","3208","3656","945","982","320","193","154","","12888"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Proportion of total salaried personnel","","","Derived from CAA (unpublished)","%","82.9","78.0","88.1","64.9","75.8","81.5","77.0","76.2","","80.6"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","3.4","5.8","0.2","5.1","2.1","4.5","0","0","","3.4"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","36.7","44.4","62.6","23.6","43.3","48.3","38.7","35.8","","43.2"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","40.1","50.1","62.8","28.8","45.3","52.8","38.7","35.8","","46.6"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Operational support personnel","","","","CAA (unpublished)","no.","447","522","226","205","155","48","31","16","","1649"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Corporate support personnel","","","","CAA (unpublished)","no.","259","385","269","305","158","25","27","32","","1460"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Total ambulance service workforce","","","","Derived from CAA (unpublished)","no.","4138","4114","4151","1455","1295","392","251","202","","15997"
"11A.2","2015-16","Human resources","All ages","Males","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","Females","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","Other","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Salaried personnel by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Ambulance operatives","","","","Derived from CAA (unpublished)","no.","122","723","138","3178","1300","513","0","38","","6012"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Operational / corporate support","","","","CAA (unpublished)","no.","28","0","1","0","141","0","0","0","","170"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Volunteers (headcount)","Total","","","","Derived from CAA (unpublished)","no.","150","723","139","3178","1441","513","0","38","","6182"
"11A.2","2015-16","Human resources","All ages","Males","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","Females","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","Other","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Volunteers by gender (headcount)","Total","","","","CAA (unpublished)","no.","na","na","na","na","na","na","na","na","","na"
"11A.2","2015-16","Human resources","All ages","All people","All people","All areas","","Community first responders","","","","","CAA (unpublished)","no.","256","357","156","0","44","42","0","96","","951"
"11A.3","2024-25","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","General","","","","AHPRA Registrant Data Table","no.","6560","7013","6540","2063","1716","738","356","262","512","25760"
"11A.3","2024-25","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Non-practising","","","","AHPRA Registrant Data Table","no.","194","207","214","65","57","23","22","12","49","843"
"11A.3","2024-25","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Total","","","","AHPRA Registrant Data Table","no.","6754","7220","6754","2128","1773","761","378","274","561","26603"
"11A.3","2023-24","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","General","","","","AHPRA Registrant Data Table","no.","6250","6933","6269","1839","1634","675","342","268","427","24637"
"11A.3","2023-24","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Non-practising","","","","AHPRA Registrant Data Table","no.","162","167","200","61","43","21","13","10","31","708"
"11A.3","2023-24","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Total","","","","AHPRA Registrant Data Table","no.","6412","7100","6469","1900","1677","696","355","278","458","25345"
"11A.3","2022-23","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","General","","","","AHPRA Registrant Data Table","no.","6037","6789","5975","1697","1541","677","319","244","303","23582"
"11A.3","2022-23","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Non-practising","","","","AHPRA Registrant Data Table","no.","134","139","155","46","44","11","18","11","24","582"
"11A.3","2022-23","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Total","","","","AHPRA Registrant Data Table","no.","6171","6928","6130","1743","1585","688","337","255","327","24164"
"11A.3","2021-22","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","General","","","","AHPRA Registrant Data Table","no.","5826","6553","5711","1571","1458","658","322","211","274","22584"
"11A.3","2021-22","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Non-practising","","","","AHPRA Registrant Data Table","no.","104","117","127","35","31","10","15","6","24","469"
"11A.3","2021-22","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Total","","","","AHPRA Registrant Data Table","no.","5930","6670","5838","1606","1489","668","337","217","298","23053"
"11A.3","2020-21","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","General","","","","AHPRA Registrant Data Table","no.","5455","6083","5443","1374","1387","598","328","197","299","21164"
"11A.3","2020-21","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Non-practising","","","","AHPRA Registrant Data Table","no.","70","98","83","25","16","9","8","3","16","328"
"11A.3","2020-21","Australian Health Practitioner Regulation Agency registered paramedics","All ages","All people","All people","All areas","","Registered paramedics","Total","","","","AHPRA Registrant Data Table","no.","5525","6181","5526","1399","1403","607","336","200","315","21492"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Emergency incidents","","","CAA (unpublished)","no.","596754","406874","628276","145306","187133","45602","18681","23183","","2051809"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Urgent incidents","","","CAA (unpublished)","no.","487370","231335","377931","79805","115597","24507","28500","18815","","1363860"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Non-emergency incidents","","","CAA (unpublished)","no.","64052","389100","312070","185837","54950","32824","8792","22179","","1069804"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Casualty room attendances","","","CAA (unpublished)","no.","0","0","107","0","0","0","0","0","","107"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Total incidents","","","Derived from CAA (unpublished)","no.","1148176","1027309","1318384","410948","357680","102933","55973","64177","","4485580"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Total incidents","Per 1000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","134.4","146.5","234.6","136.6","189.1","178.8","116.2","244.8","","163.7"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","With paid staff only","","","CAA (unpublished)","no.","243","180","254","32","49","18","10","8","","794"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","With mixed paid and volunteer staff","","","CAA (unpublished)","no.","7","81","0","21","1","24","0","0","","134"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","With volunteer staff only","","","CAA (unpublished)","no.","56","21","31","136","75","13","0","0","","332"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","Total response locations","","","Derived from CAA (unpublished)","no.","306","282","285","189","125","55","10","8","","1260"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","Total response locations","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","3.6","4.0","5.1","6.3","6.6","9.6","2.1","3.1","","4.6"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","First responder locations","Ambulance","","","CAA (unpublished)","no.","7","46","28","0","16","4","0","0","","101"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","First responder locations","Third party","","","CAA (unpublished)","no.","56","72","0","0","9","0","0","0","","137"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Responses","Emergency responses","","","CAA (unpublished)","no.","796831","608602","801559","194475","271646","67255","25270","27982","","2793620"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Responses","Urgent responses","","","CAA (unpublished)","no.","647395","323982","421717","140858","163459","30051","33916","21553","","1782931"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Responses","Non-emergency responses","","","CAA (unpublished)","no.","75174","479468","324082","267286","72045","36178","9180","24803","","1288216"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Responses","Total responses","","","Derived from CAA (unpublished)","no.","1519400","1412052","1547358","602619","507150","133484","68366","74338","","5864767"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Responses","Total responses","Per 1000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","177.8","201.4","275.4","200.3","268.1","231.8","141.9","283.5","","214.0"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Patients","Transported","","","CAA (unpublished)","no.","842613","748140","1154797","380802","289698","67630","42312","44705","","3570697"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Patients","Treated not transported","","","CAA (unpublished)","no.","215272","139761","191005","62784","43778","21162","10812","11323","","695897"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Patients","Total patients","","","Derived from CAA (unpublished)","no.","1057885","887901","1345802","443586","333476","88792","53124","56028","","4266594"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Patients","Total patients","Per 1000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","123.8","126.6","239.5","147.4","176.3","154.2","110.3","213.7","","155.7"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Ambulance general purpose","","","CAA (unpublished)","no.","1256","874","1147","559","302","125","37","43","","4343"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Patient transport vehicles","","","CAA (unpublished)","no.","21","84","124","144","34","12","8","5","","432"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Operational support vehicles","","","CAA (unpublished)","no.","500","450","239","92","128","55","14","12","","1490"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Special operations vehicles","","","CAA (unpublished)","no.","34","31","63","3","45","3","5","5","","189"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Administrative and other vehicles","","","Derived from CAA (unpublished)","no.","141","197","148","181","44","13","3","8","","735"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Total transport","","","Derived from CAA (unpublished)","no.","1952","1636","1721","979","553","208","67","73","","7189"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Total road fleet","","","CAA (unpublished)","m km","50.0","43.9","48.8","24.6","15.2","4.8","1.6","1.6","","190.4"
"11A.4","2024-25","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Transport","Air ambulance aircraft","","","CAA (unpublished)","no.","27","11","24","0","9","4","1","0","","76"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Emergency incidents","","","CAA (unpublished)","no.","554102","407347","574586","135145","171838","44222","17999","19931","","1925170"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Urgent incidents","","","CAA (unpublished)","no.","498450","236203","399975","81595","119458","22509","27522","19841","","1405553"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Non-emergency incidents","","","CAA (unpublished)","no.","76655","442141","310306","175706","49629","31024","9300","23948","","1118709"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Casualty room attendances","","","CAA (unpublished)","no.","0","0","172","0","0","0","0","0","","172"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Total incidents","","","Derived from CAA (unpublished)","no.","1129207","1085691","1285039","392446","340925","97755","54821","63720","","4449604"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Incidents","Total incidents","Per 1000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","133.9","157.2","232.4","134.0","182.7","170.1","116.6","251.2","","165.0"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","With paid staff only","","","CAA (unpublished)","no.","234","179","251","31","46","18","10","8","","777"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","With mixed paid and volunteer staff","","","CAA (unpublished)","no.","6","80","0","21","2","24","0","0","","133"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","With volunteer staff only","","","CAA (unpublished)","no.","53","23","29","137","74","13","0","0","","329"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","Total response locations","","","Derived from CAA (unpublished)","no.","293","282","280","189","122","55","10","8","","1239"
"11A.4","2023-24","Ambulance activity and resources","All ages","All people","All people","All areas","","Ambulance activity and resources","Response locations","Total response locations","Per 100000 people","","Derived from CAA (unpublished); ABS National state and territory population - December","rate","3.5","4.1","5.1","6.5","6.5","9.6","2.1","3.2","","4.6"
