"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Other","Aust"
"11A.1","2021-22","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","182.52","256.70","221.93","153.52","230.57","292.99","189.71","229.35","","212.71"
"11A.1","2020-21","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1111.2","1142.9","1028.2","197.8","226.9","147.6","73.3","42.8","","3970.8"
"11A.1","2020-21","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","291.9","242.1","64.7","164.4","146.5","10.8","9.7","3.7","","933.9"
"11A.1","2020-21","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","19.4","121.8","17.2","54.5","52.4","3.0","4.3","2.4","","275.1"
"11A.1","2020-21","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1422.6","1506.7","1110.2","416.7","425.8","161.4","87.4","49.0","","5179.7"
"11A.1","2020-21","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","175.75","229.44","214.14","152.75","237.29","287.21","195.17","197.64","","202.09"
"11A.1","2019-20","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1032.4","1035.2","986.2","186.9","189.7","111.2","74.9","40.5","","3657.0"
"11A.1","2019-20","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","262.5","251.9","67.1","150.1","138.5","11.3","9.0","3.5","","894.0"
"11A.1","2019-20","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","18.4","117.8","16.9","48.7","48.7","5.5","0","1.6","","257.6"
"11A.1","2019-20","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1313.3","1404.9","1070.2","385.8","376.9","128.0","84.0","45.6","","4808.6"
