Cybercrime type,Individual / business,Variable,2024 (%),2025 (%),Impacts,Statistically significant difference (2024 vs 2025)
Malware only,Individual,Legal,0.5,0.3,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Identity crime and misuse only,Individual,Legal,0.5,0.7,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Fraud and scams only,Individual,Legal,0.3,0.4,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
All cybercrime ,Individual,Legal,2.5,2.4,"Legal impacts include:
•	Respondent had to commence legal action
•	Respondent had been in trouble with the police",No
Online abuse and harassment only,Individual,Any harm,40.8,41.0,,No
Malware only,Individual,Any harm,42.0,39.9,,No
Identity crime and misuse only,Individual,Any harm,42.9,49.3,,p<.05
Fraud and scams only,Individual,Any harm,68.1,70.5,,No
All cybercrime ,Individual,Any harm,56.8,58.8,,No
Online abuse and harassment only,Business,Disruption to everyday business function,10.2,11.3,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Malware only,Business,Disruption to everyday business function,18.0,12.4,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Identity crime and misuse only,Business,Disruption to everyday business function,11.6,6.3,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
Fraud and scams only,Business,Disruption to everyday business function,12.1,18.1,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",
All cybercrime ,Business,Disruption to everyday business function,25.6,28.7,"Disruption to everyday business function includes:
•	The business spent time repairing and improving systems
•	Had to change the business banking and/or contact information
•	Disruption to operations and/or trading (eg inability to carry out transactions, websites not functioning)
•	Difficulty accessing online accounts and resources (eg bank accounts, utilities, email)",No
Online abuse and harassment only,Business,Additional business expenses,5.3,1.3,"Additional business expenses includes:
•	Had to buy new software
•	Had to buy new backup data storage or data storage devices
•	Had to pay for computer, phone or other hardware repairs or replacement
•	Insurance premiums were increased",
Malware only,Business,Additional business expenses,10.0,7.1,"Additional business expenses includes:
•	Had to buy new software
•	Had to buy new backup data storage or data storage devices
•	Had to pay for computer, phone or other hardware repairs or replacement
•	Insurance premiums were increased",
Identity crime and misuse only,Business,Additional business expenses,7.8,9.3,"Additional business expenses includes:
•	Had to buy new software
•	Had to buy new backup data storage or data storage devices
•	Had to pay for computer, phone or other hardware repairs or replacement
•	Insurance premiums were increased",
Fraud and scams only,Business,Additional business expenses,5.7,6.0,"Additional business expenses includes:
•	Had to buy new software
•	Had to buy new backup data storage or data storage devices
•	Had to pay for computer, phone or other hardware repairs or replacement
•	Insurance premiums were increased",
All cybercrime ,Business,Additional business expenses,15.3,16.4,"Additional business expenses includes:
•	Had to buy new software
•	Had to buy new backup data storage or data storage devices
•	Had to pay for computer, phone or other hardware repairs or replacement
•	Insurance premiums were increased",No
Online abuse and harassment only,Business,Reputation and revenue,4.7,5.2,"Reputation and revenue includes:
•	There was a loss of customers, sales or revenue
•	The business reputation was damaged
•	We lost business contracts
•	Professional relationships were damaged",
Malware only,Business,Reputation and revenue,5.8,3.6,"Reputation and revenue includes:
•	There was a loss of customers, sales or revenue
•	The business reputation was damaged
•	We lost business contracts
•	Professional relationships were damaged",
Identity crime and misuse only,Business,Reputation and revenue,2.0,2.3,"Reputation and revenue includes:
•	There was a loss of customers, sales or revenue
•	The business reputation was damaged
•	We lost business contracts
•	Professional relationships were damaged",
Fraud and scams only,Business,Reputation and revenue,7.1,9.9,"Reputation and revenue includes:
•	There was a loss of customers, sales or revenue
•	The business reputation was damaged
•	We lost business contracts
•	Professional relationships were damaged",
All cybercrime ,Business,Reputation and revenue,12.8,14.1,"Reputation and revenue includes:
•	There was a loss of customers, sales or revenue
•	The business reputation was damaged
•	We lost business contracts
•	Professional relationships were damaged",No
Online abuse and harassment only,Business,Loss of information,4.1,0.7,"Loss of information includes:
•	The business had to notify affected parties of a data breach
•	Theft of my information or other staff information (eg contact details, financial data)
•	Theft of customer or supplier information (eg contact details, financial data)
•	Theft of intellectual property or corporate information",
Malware only,Business,Loss of information,4.0,3.7,"Loss of information includes:
•	The business had to notify affected parties of a data breach
•	Theft of my information or other staff information (eg contact details, financial data)
•	Theft of customer or supplier information (eg contact details, financial data)
•	Theft of intellectual property or corporate information",
Identity crime and misuse only,Business,Loss of information,2.3,0.0,"Loss of information includes:
•	The business had to notify affected parties of a data breach
•	Theft of my information or other staff information (eg contact details, financial data)
•	Theft of customer or supplier information (eg contact details, financial data)
•	Theft of intellectual property or corporate information",
