Tab,Type of online behaviour,Sub-tab,Variable,Technology knowledge and ability level,Gender,Age,Small-to-medium business owner status,2024 adjusted estimates (%),2025 adjusted estimates (%),Statistically significant difference (2024 vs 2025)
L2 - tech knowledge and ability,,Tab 2,Ability,Moderate,All persons,All ages,Not an SME owner,47.2,47.0,No
L2 - tech knowledge and ability,,Tab 2,Ability,Moderate,All persons,All ages,All,46.5,46.2,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,Male,All ages,All,33.4,33.6,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,Female,All ages,All,27.6,27.5,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,All persons,18 – 34,All,41.4,42.4,p<.01
L2 - tech knowledge and ability,,Tab 2,Ability,High,All persons,35 – 64,All,29.8,29.3,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,All persons,65+,All,17.0,16.8,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,All persons,All ages,SME owner,34.3,34.1,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,All persons,All ages,Not an SME owner,29.8,29.9,No
L2 - tech knowledge and ability,,Tab 2,Ability,High,All persons,All ages,All,30.6,30.9,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,Male,All ages,All,16.2,16.5,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,Female,All ages,All,8.4,8.3,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,All persons,18 – 34,All,19.2,21.1,p<.01
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,All persons,35 – 64,All,11.4,11.1,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,All persons,65+,All,3.9,3.8,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,All persons,All ages,SME owner,16.8,16.3,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,All persons,All ages,Not an SME owner,11.6,11.7,No
L2 - tech knowledge and ability,,Tab 2,Ability,Very high,All persons,All ages,All,12.1,12.4,No
