Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2025 prevalence (%),2024 adjusted estimates (%),2025 adjusted estimates (%),Statistically significant difference (2024 vs 2025)
Tab 3,Fraud and scams,,,All persons,All ages,SME owner,,16.9,19.5,No
Tab 3,Fraud and scams,,,All persons,All ages,Not an SME owner,,8.7,9.6,p<.05
Tab 3,Fraud and scams,,,All persons,All ages,All,,9.7,11.1,p<.01
Tab 3,Any cybercrime (all),,,Male,All ages,All,,48.9,45.9,p<.01
Tab 3,Any cybercrime (all),,,Female,All ages,All,,46.6,44.2,p<.05
Tab 3,Any cybercrime (all),,,All persons,18 – 34,All,,52.5,52.5,No
Tab 3,Any cybercrime (all),,,All persons,35 – 64,All,,46.6,41.6,p<.001
Tab 3,Any cybercrime (all),,,All persons,65+,All,,44.5,42.2,No
Tab 3,Any cybercrime (all),,,All persons,All ages,SME owner,,58.0,55.7,No
Tab 3,Any cybercrime (all),,,All persons,All ages,Not an SME owner,,46.4,43.1,p<.001
Tab 3,Any cybercrime (all),,,All persons,All ages,All,,47.8,45.1,p<.001
Tab 3,Online abuse and harassment,Extortion or harassment involving images or videos,,All respondents ,All respondents ,All respondents ,,5.5,6.0,No
Tab 3,Online abuse and harassment,Impersonation,,All respondents ,All respondents ,All respondents ,,7.8,6.9,p<.05
Tab 3,Online abuse and harassment,Sharing without consent,,All respondents ,All respondents ,All respondents ,,3.1,2.8,No
Tab 3,Online abuse and harassment,Stalking and harassing,,All respondents ,All respondents ,All respondents ,,2.9,2.5,No
Tab 3,Online abuse and harassment,Controlling and restricting,,All respondents ,All respondents ,All respondents ,,3.9,4.0,No
Tab 3,Online abuse and harassment,Hate speech,,All respondents ,All respondents ,All respondents ,,3.2,3.0,No
Tab 3,Online abuse and harassment,Cyberbullying,,All respondents ,All respondents ,All respondents ,,5.6,5.8,No
Tab 3,Online abuse and harassment,Unsolicited sexual content,,All respondents ,All respondents ,All respondents ,,7.6,6.3,p<.001
Tab 3,Online abuse and harassment,Other online abuse and harassment,,All respondents ,All respondents ,All respondents ,,0.2,0.4,No
Tab 3,Malware,Suspected malware,,All respondents ,All respondents ,All respondents ,,17.3,17.5,No
Tab 3,Malware,Pure ransomware,,All respondents ,All respondents ,All respondents ,,2.5,3.1,p<.05
Tab 3,Malware,Ransomware-related data theft and extortion,,All respondents ,All respondents ,All respondents ,,2.6,3.0,No
Tab 3,Malware,Other malware,,All respondents ,All respondents ,All respondents ,,0.5,0.4,No
Tab 3,Identity crime and misuse,Compromise of financial accounts,,All respondents ,All respondents ,All respondents ,,17.7,15.8,p<.01
Tab 3,Identity crime and misuse,Non financial identity compromise ,,All respondents ,All respondents ,All respondents ,,4.8,5.7,p<.01
Tab 3,Identity crime and misuse,Other identity crime and misuse,,All respondents ,All respondents ,All respondents ,,1.1,0.5,p<.001
Tab 3,Fraud and scams,Investment scams ,,All respondents ,All respondents ,All respondents ,,1.5,1.7,No
Tab 3,Fraud and scams,Job and employment scams ,,All respondents ,All respondents ,All respondents ,,,,
Tab 3,Fraud and scams,Buying products or services scams,,All respondents ,All respondents ,All respondents ,,4.5,4.6,No
Tab 3,Fraud and scams,Donation scams,,All respondents ,All respondents ,All respondents ,,,,
Tab 3,Fraud and scams,Relationship scams,,All respondents ,All respondents ,All respondents ,,,,
Tab 3,Fraud and scams,Remote access scams,,All respondents ,All respondents ,All respondents ,,1.1,1.2,No
Tab 3,Fraud and scams,Money recovery scams,,All respondents ,All respondents ,All respondents ,,,,
Tab 3,Fraud and scams,Unexpected money scams ,,All respondents ,All respondents ,All respondents ,,1.3,1.4,No
Tab 3,Fraud and scams,Phishing scams,,All respondents ,All respondents ,All respondents ,,1.7,1.6,No
Tab 3,Fraud and scams,Other scams,,All respondents ,All respondents ,All respondents ,,1.6,1.8,No
