STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,103,6011,12334,19418,19136,22030,28025,107057,4.05%
VIC,150,7739,15903,20509,18544,17413,17334,97592,5.00%
QLD,151,5841,10968,15729,17166,18449,18810,87114,5.66%
SA,3615,4295,3803,5374,6027,6814,8776,38704,6.36%
WA,87,4985,8461,11263,11684,11370,11087,58937,7.48%
TAS,34,748,1327,1716,2189,2403,2227,10644,5.71%
NT,5,178,614,752,602,474,253,2878,3.64%
ACT,14,662,1304,1569,1310,1270,1027,7156,5.64%
TOTAL,4159,30459,54714,76330,76658,80223,87539,410082,5.17%
