STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,259088,25.59%,1.29%
VIC,245699,24.27%,1.65%
QLD,214709,21.21%,1.94%
SA,92091,9.10%,0.97%
WA,148288,14.65%,1.49%
TAS,26770,2.64%,5.96%
NT,7771,0.77%,2.37%
ACT,18071,1.78%,1.60%
TOTAL,1012487,100.00%,1.65%
