STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,232,10549,24273,30131,27085,29197,30564,152031,5.59%
VIC,482,17289,29971,31166,26201,23059,19939,148107,7.25%
QLD,409,12906,22291,24615,24760,23317,19297,127595,8.17%
SA,3675,6951,7117,8254,8379,9191,9820,53387,8.48%
WA,228,11135,17055,17709,16841,14448,11935,89351,11.26%
TAS,81,1773,2580,2898,3316,3098,2380,16126,8.25%
NT,19,602,1383,1233,876,541,239,4893,6.97%
ACT,52,1385,2581,2194,1880,1638,1185,10915,8.30%
TOTAL,5178,62590,107251,118200,109338,104489,95359,602405,7.40%
