tenement_category,tenement_type_code,tenement_type_desc,tenement_number,tenement_label,tenement_status,holders,operators,location,legal_area,area_unit,grant_date,surrender_date,expiry_date,renewal_received_date,transfer_received_date,surrender_received_date,commodities,commodity_categories,court_action_pending,mpl_purpose,operation_name,operation_status,operation_method,reports_and_related_records,prior_tenement,subsequent_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6478,EL 6478,Active,SA Exploration Pty Ltd,,Waddikee area approximately 150km southwest of Port Augusta,698,Square Kilometres,2020-03-16T01:30:00Z,,2031-03-15T01:30:00Z,,,,Kaolin,,,,,,,,,,136.45137599999998,-33.356875
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6473,EL 6473,Active,Yandan Gold Mines Pty Ltd,"Pernatty Co Pty Ltd, Yandan Gold Mines Pty Ltd",Arcoona area approximately 140km north-northwest of Port Augusta,149,Square Kilometres,2020-02-20T01:30:00Z,,2031-02-19T01:30:00Z,,,,"Cobalt, Copper",,,,,,,,,,137.05134099999998,-31.331859
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6112,EL 6112,Active,Murray Zircon Pty Ltd,,Mantung area approximately 160 km east-northeast of Adelaide,658,Square Kilometres,2018-01-02T01:30:00Z,,2029-01-01T01:30:00Z,,,,"Ilmenite, Rutile, Zircon",,,,,,,,,,140.2680155,-34.623508
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5844,EL 5844,Active,OneSteel Manufacturing Pty Limited operating as SIMEC Mining (Administrators Appointed),,Central Middleback Ranges area approximately 75km southwest of Pt Augusta,40,Square Kilometres,2016-08-31T02:30:00Z,,2027-08-30T02:30:00Z,,,,"Copper, Gold, Iron Ore",,,,,,,,,,137.240681,-32.9749105
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7060,EL 7060,Active,Resource Base Limited,,"Yellabinna area, approximately 15 km south of Tarcoola",69,Square Kilometres,2025-04-02T01:30:00Z,,2031-04-01T01:30:00Z,,,,"Mineral Sands, Palladium, Phosphate, Platinum, Rare Earths, Rutile, Titanium, Vanadium",,,,,,,,,,134.51174350000002,-30.9131095
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7072,EL 7072,Active,Copper Search Australia Pty Ltd,,Anna Creek area - approximately 110 km east of Coober Pedy,903,Square Kilometres,2025-06-26T02:30:00Z,,2031-06-25T02:30:00Z,,,,"Heavy Mineral Sands, Mineral Sands",,,,,,,,,,135.87632200000002,-28.981859
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5953,EL 5953,Active,Peninsula Resources Pty Ltd,"Andromeda Metals Limited, Lady Alice Mines Pty Ltd, Peninsula Resources Pty Ltd",Minnipa area approximately 80km east of Streaky Bay,43,Square Kilometres,2017-04-19T02:30:00Z,,2028-04-18T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,135.418042,-32.7985515
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7109,EL 7109,Active,Tri-Star Minerals Pty Ltd,,"Murnpeowie area, approximately 120 km northeast of Maree",21,Square Kilometres,2026-03-19T01:30:00Z,,2032-03-18T01:30:00Z,,,,All Minerals(),,,,,,,,,,139.359624,-29.590160500000003
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6497,EL 6497,Active,Rex Minerals (SA) Pty Ltd,,Minlaton area approximately 35km southwest of Minlaton,166,Square Kilometres,2020-07-28T02:30:00Z,,2031-07-27T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,137.5343355,-34.581863999999996
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6514,EL 6514,Active,Marmota Limited,,Warrior area approximately 90km northwest of Tarcoola,435,Square Kilometres,2020-06-21T02:30:00Z,,2031-06-20T02:30:00Z,,,,"Gold, Nickel, Uranium",,,,,,,,,,133.80136099999999,-30.390221
