tenement_category,tenement_type_code,tenement_type_desc,tenement_number,tenement_label,tenement_status,holders,operators,location,legal_area,area_unit,grant_date,surrender_date,expiry_date,renewal_received_date,transfer_received_date,surrender_received_date,commodities,commodity_categories,court_action_pending,mpl_purpose,operation_name,operation_status,operation_method,reports_and_related_records,prior_tenement,subsequent_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7136,EL 7136,Active,River Property Investments Pty Ltd,,"Nilpinna Station Area, Approximately 100 km northeast of Coober Pedy",491,Square Kilometres,2026-06-10T02:30:00Z,,2032-06-09T02:30:00Z,,,,Coal(),,,,,,,,,,135.201311,-27.8901975
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6083,EL 6083,Active,Marmota Limited,,"COMMONWEALTH HILL STATION AREA - Approximately 110 km southwest of
Coober Pedy",315,Square Kilometres,2017-11-16T01:30:00Z,,2028-11-15T01:30:00Z,,,,Gold,,,,,,,,,,134.259672,-29.806884
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6598,EL 6598,Active,Adavale Minerals Pty Ltd,,Murnpeowie area approximately 70km east of Marree,57,Square Kilometres,2020-07-14T02:30:00Z,,2031-07-13T02:30:00Z,,,,"Cobalt, Copper, Gold, Graphite, Iridium, Iron, Lead, Lithium, Osmium, Palladium, Platinum, Rare Earths, Rhodium, Silver, Uranium, Zinc",,,,,,,,,,138.8179695,-29.648501500000002
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6376,EL 6376,Active,Iluka (Eucla Basin) Pty Ltd,"IGO Forrestania Limited, Iluka (Eucla Basin) Pty Ltd",Nundroo area approximately 165km west-northwest of Ceduna,307,Square Kilometres,2019-07-25T02:30:00Z,,2030-07-24T02:30:00Z,,,,"All Metals, Heavy Mineral Sands",,,,,,,,,,132.0097285,-31.715246999999998
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6512,EL 6512,Active,Boss Uranium Pty Ltd,FQM Exploration (Australia) Pty Ltd,Goulds Dam area approximately 100km northwest of Olary,334,Square Kilometres,2020-05-29T02:30:00Z,,2031-05-28T02:30:00Z,,,,Uranium,,,,,,,,,,139.9429755,-31.431829999999998
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5940,EL 5940,Active,Havilah Resources Limited,Heavy Rare Earths Limited; Koba Resources Limited,Quinyambie area approximately 140km north of Olary,590,Square Kilometres,2017-04-06T02:30:00Z,,2028-04-05T02:30:00Z,,,,Copper; Gold; Lead; Uranium; Zinc,,,,,,,,,,140.53420699999998,-30.9234735
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5828,EL 5828,Active,OneSteel Manufacturing Pty Limited operating as SIMEC Mining (Administrators Appointed),,Middleback Ranges area - approx 35 km west of Whyalla,464,Square Kilometres,2016-05-02T02:30:00Z,,2027-05-01T02:30:00Z,,,,"Copper, Gold, Iron Ore",,,,,,,,,,137.14302800000002,-32.998532
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6469,EL 6469,Active,Ausmin Development Pty Ltd,Renascor Resources Limited (Operator),Verran area approximately 40km southwest of Cowell,671,Square Kilometres,2020-01-29T01:30:00Z,,2031-01-28T01:30:00Z,,,,Graphite,,,,,,,,,,136.5597185,-33.868894499999996
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6351,EL 6351,Active,SA Exploration Pty Ltd,,Collinsville area approximately 40km northeast of Burra,301,Square Kilometres,2019-06-15T02:30:00Z,,2030-06-14T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,139.19300650000002,-33.3401775
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6120,EL 6120,Active,Altair Minerals Limited,,Lake Torrens area approximately 80km east of Olympic Dam,62,Square Kilometres,2017-05-28T02:30:00Z,,2028-05-27T02:30:00Z,,,,"Copper, Gold, Iron Ore",,,,,,,,,,137.7763225,-30.723515
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6179,EL 6179,Active,Menninnie Metals Pty Ltd,,Mt Ive area approximately 100km north-northwest of Kimba,155,Square Kilometres,2018-06-07T02:30:00Z,,2029-06-06T02:30:00Z,,,,"Copper, Gold, Lead, Silver, Zinc",,,,,,,,,,136.0464995,-32.332741
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7103,EL 7103,Active,Paralana Pty.Ltd.,,Clifton Hills Station area - Approximately 130 km west of Innamincka,996.7,Square Kilometres,2026-01-28T01:30:00Z,,2032-01-27T01:30:00Z,,,,Uranium(),,,,,,,,,,139.4762675,-27.598489999999998
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6304,EL 6304,Active,FMG Resources Pty Ltd,,Roxby Downs Station area approximately 40km west of Andamooka,89,Square Kilometres,2019-02-08T01:30:00Z,,2030-02-07T01:30:00Z,,,,Copper; Gold; Uranium,,,,,,,,,,136.742997,-30.3568565
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6503,EL 6503,Active,Terbium Pty Ltd,,Dawson area approximately 30km northeast of Peterborough,89,Square Kilometres,2020-08-28T02:30:00Z,,2031-08-27T02:30:00Z,,,,Gold,,,,,,,,,,139.08466700000002,-32.823511499999995
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6761,EL 6761,Active,Green Lit Resources Pty Ltd,Green Lit Resources Pty Ltd,Strzelecki Desert area approximately 45km southwest of Moomba,594,Square Kilometres,2022-05-18T02:30:00Z,,2028-05-17T02:30:00Z,,,,Lithium,,,,,,,,,,139.9763,-28.4484885
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6061,EL 6061,Active,FMG Resources Pty Ltd,,Andamooka area approximately 50km northwest of Roxby Downs,68,Square Kilometres,2017-10-08T01:30:00Z,,2028-10-07T01:30:00Z,,,,Base Metals; Gold; Iron; Uranium,,,,,,,,,,136.54299450000002,-30.090190999999997
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6166,EL 6166,Active,Marmota Limited,,Muckanippie Outstation area approximately 60km northwest of Tarcoola,122,Square Kilometres,2018-03-13T01:30:00Z,,2029-03-12T01:30:00Z,,,,Gold,,,,,,,,,,134.1846905,-30.215215
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5971,EL 5971,Active,Lincoln Minerals Limited,,Tumby Bay area approximately 50km northeast of Port Lincoln,182,Square Kilometres,2017-04-12T02:30:00Z,,2028-04-11T02:30:00Z,,,,Iron Ore,,,,,,,,,,136.0847255,-34.22355
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6414,EL 6414,Active,Menninnie Metals Pty Ltd,,Tanner area approximately 120km north-northwest of Kimba,354,Square Kilometres,2019-08-01T02:30:00Z,,2030-07-31T02:30:00Z,,,,Copper; Gold; Lead; Silver; Tin; Tungsten; Zinc,,,,,,,,,,135.73469899999998,-32.2485425
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6161,EL 6161,Active,Havilah Resources Limited,Koba Resources Limited,Chocolate Dam area approximately 100km north-northeast of Olary,59,Square Kilometres,2018-04-30T02:30:00Z,,2029-04-29T02:30:00Z,,,,Base Metals; Diamonds; Gold,,,,,,,,,,140.701296,-31.365156
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6204,EL 6204,Active,Red Metal Limited,,Frome Downs area approximately 280km north-northeast of Yunta,12,Square Kilometres,2018-07-27T02:30:00Z,,2029-07-26T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,140.434615,-30.131818000000003
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6025,EL 6025,Active,OZ Exploration Pty Ltd,,Red Swamp area approximately 40km north of Woomera,24,Square Kilometres,2017-09-10T02:30:00Z,,2028-09-09T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,136.701332,-30.5485245
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6407,EL 6407,Active,Kelaray Pty. Limited,Kelaray Pty. Limited,Lake Torrens area approximately 180km north of Port Augusta,295,Square Kilometres,2019-08-18T02:30:00Z,,2030-08-17T02:30:00Z,,,,"Copper, Gold, Lead, Rare Earths, Silver, Uranium, Zinc",,,,,,,,,,137.6679645,-30.748516000000002
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6197,EL 6197,Active,Ausmin Development Pty Ltd,Renascor Resources Limited (Operator),Verran area approximately 90km northeast of Port Lincoln,77,Square Kilometres,2018-04-05T02:30:00Z,,2029-04-04T02:30:00Z,,,,Graphite,,,,,,,,,,136.43472500000001,-33.865198
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6582,EL 6582,Active,Tigers Dominion Group Pty Ltd,,Mulgathing area approximately 35km west-southwest of Tarcoola,94,Square Kilometres,2020-12-23T01:30:00Z,,2031-12-22T01:30:00Z,,,,"Base Metals, Copper, Gold",,,,,,,,,,134.2346955,-30.7902185
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6315,EL 6315,Active,Copper Search Australia Pty Ltd,,Anna Creek area approximately 180km east of Coober Pedy,829,Square Kilometres,2019-02-20T01:30:00Z,,2030-02-19T01:30:00Z,,,,"Base Metals, Precious Metals",,,,,,,,,,136.592979,-28.815185
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6486,EL 6486,Active,Southern Iron Pty Ltd,,Mount Brady area approximately 30km east-southeast of Coober Pedy,167,Square Kilometres,2020-01-25T01:30:00Z,,2031-01-24T01:30:00Z,,,,"Copper, Gold, Silver, Uranium",,,,,,,,,,135.01799849999998,-29.123535
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6074,EL 6074,Active,Organic Marble Company Pty Ltd,,Kate Hill area approximately 10km east of Leigh Creek,130,Square Kilometres,2018-01-02T01:30:00Z,,2029-01-01T01:30:00Z,,,,"Base Metals, Copper, Gold, Marble",,,,,,,,,,138.5596415,-30.456836000000003
