application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00247,,Javelin Exploration Pty Ltd,Emu area - approx 215 km SW of Marla,2015-12-17T01:30:00Z,306,Square Kilometres,"Gold,Uranium,Silver,Copper,Zinc,Nickel,Lead",Unspecified,,,,,,,,,132.45135349999998,-28.9318925
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2021/00076,,Magnetite Mines Limited,Yellabinna area approximately 230km northwest of Ceduna,2021-06-29T02:30:00Z,592,Square Kilometres,"Iron Ore - Magnetite,Iron Ore,All Minerals",Unspecified,,,,,,,,,132.08470649999998,-30.348572
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2008/00055,,Spencer Metals Pty Ltd,Oakburn area - Approx 130 km SSW of Whyalla,2008-01-18T01:30:00Z,716,Square Kilometres,Copper,Unspecified,,,,,,,,,137.10138,-34.1485395
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01178,,Rox 1 Pty Ltd,Outalpa area immediately northwest of Olary,2026-05-29T02:30:00Z,400.3,Square Kilometres,"Copper,Gold",Unspecified,,,,,,,,,139.75131850000002,-32.31516
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01184,,Karap Pty Ltd,Outalpa area immediately northwest of Olary,2026-06-19T02:30:00Z,400.3,Square Kilometres,Gold,Unspecified,,,,,,,,,139.75131850000002,-32.31516
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01176,,Austral Strategic Metals Pty Ltd,Outalpa area immediately northwest of Olary,2026-05-31T02:30:00Z,400,Square Kilometres,"Rare Earths,Copper,Gold,Heavy Mineral Sands",Unspecified,,,,,,,,,139.75131850000002,-32.31516
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01180,,Exco Operations (SA) Pty Limited,Outalpa area immediately northwest of Olary,2026-06-01T02:30:00Z,400.3,Square Kilometres,"Gold,Copper",Unspecified,,,,,,,,,139.75131850000002,-32.31516
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01181,,Teetulpa Goldfields Pty Limited,Outalpa area immediately northwest of Olary,2026-06-18T02:30:00Z,400.3,Square Kilometres,"Gold,Silver,Base Metals,Rare Earths,Kaolin",Unspecified,,,,,,,,,139.75131850000002,-32.31516
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2008/00054,,Spencer Metals Pty Ltd,Wilburto area - Approx 100 km SSW of Whyalla,2008-01-18T01:30:00Z,915,Square Kilometres,Copper,Unspecified,,,,,,,,,137.29304150000002,-33.8902025
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00059,,Mithril Resources Limited,Wright Hill Area- approx. 220km west of Marla,1997-01-22T01:30:00Z,2308,Square Kilometres,"Base Metals,Gold",Unspecified,,,,,,,,,131.084683,-27.5818985
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00022,,Typhon Minerals Pty Ltd,Mount Hardy area - approx 380 km WNW of Marla,2017-03-16T01:30:00Z,565,Square Kilometres,"Vanadium,Silver,Gold,Copper,Nickel,Cobalt,Lead,Zinc,Platinum",Unspecified,,,,,,,,,130.0013415,-26.248569500000002
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2002/00059,,[individual holder - name withheld for privacy]; Wangka Wangka,Granite Downs area - 40 km NNW of Marla,2002-04-17T02:30:00Z,52,Square Kilometres,Opal,Unspecified,,,,,,,,,133.50965250000002,-26.9402095
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00002,,Typhon Minerals Pty Ltd,Anangu Oitjantjatjara Yankunytjatjarea area - approx 200 km WNW Mintabie,2016-12-29T01:30:00Z,443,Square Kilometres,"Copper,Cobalt,Nickel,Zinc,Platinum,Lead,Silver,Gold,Vanadium",Unspecified,,,,,,,,,131.64299599999998,-26.281887500000003
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00092,,[individual holder - name withheld for privacy]; [individual holder - name withheld for privacy],Granite Downs area - approx 40km NNW of Marla,2013-04-24T02:30:00Z,52,Square Kilometres,"Silver,Uranium,Gold,Nickel,Lead,Zinc,Iron Ore,Copper,Mineral Sands,All Minerals,Rare Earths",Unspecified,,,,,,,,,133.50965250000002,-26.9402095
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00342,,Goldsearch Ltd,Musgrave Ranges area - Approx 180km NW of Marla,1996-08-02T02:30:00Z,2136,Square Kilometres,"Gold,Base Metals,Silver",Unspecified,,,,,,,,,132.29299,-26.248552
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00197,,NiCul Minerals Limited,Ironwood Bore area - approx 150 km NW of Marla,2015-10-07T01:30:00Z,2202,Square Kilometres,"Base & Precious Metals, Copper, Nickel",Unspecified,,,,,,,,,132.33466099999998,-26.6985505
