table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,NSW,0
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,Vic,64
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,Qld,231
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,WA,347
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,SA,88
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,Tas,15
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,ACT,18
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,NT,20
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,Aust,784
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,NSW,906
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,Vic,267
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,Qld,55
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,WA,76
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,SA,168
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,Tas,33
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,ACT,30
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,NT,37
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,Aust,1572
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,NSW,4352
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,Vic,4352
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,Qld,4389
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,WA,1066
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,SA,1238
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,Tas,428
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,ACT,219
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,NT,123
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,Aust,16168
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,NSW,112
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,Vic,30
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,Qld,17
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,WA,49
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,SA,62
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,Tas,20
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,ACT,0
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,NT,0
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,Aust,291
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Communications operatives,,,CAA (unpublished),no.,NSW,567
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Communications operatives,,,CAA (unpublished),no.,Vic,277
