table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,NSW,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Vic,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Qld,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,WA,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,SA,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Tas,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,ACT,3000
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,NT,1500
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of patients surveyed,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Aust,23
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,NSW,635
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Vic,634
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Qld,725
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,WA,211
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,SA,669
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Tas,967
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,ACT,705
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,NT,109
11A.8,Patient experience of ambulance services,2024-25,Patient experience,All ages,All people,All people,All areas,,Patient experience,Total number of usable responses,,,,CAA (unpublished) Patient Experience Survey Australia,no.,Aust,4655
