table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,29
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,40-49 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,4186
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,985
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,778
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,954
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,346
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,386
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,85
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,56
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,28
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,50-59 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,3618
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,274
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,240
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,346
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,132
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,163
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,31
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,17
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,4
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,60+ years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,1207
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,NSW,6390
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,Vic,5667
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,Qld,5776
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,WA,2126
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,SA,2325
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,Tas,667
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,ACT,372
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,NT,219
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),no.,Aust,23542
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,NSW,80.3
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,Vic,82.0
