table,title,rows,file
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",459,table-11a-1.csv
11A.2,Ambulance service organisations' human resources,2250,table-11a-2.csv
11A.3,Australian Health Practitioner Regulation Agency registered paramedics,150,table-11a-3.csv
11A.4,"Incidents, responses, patients and transport",2700,table-11a-4.csv
11A.5,Ambulance services response times,336,table-11a-5.csv
11A.6,Triple zero (000) call answering time,180,table-11a-6.csv
11A.7,Pain management,180,table-11a-7.csv
11A.8,Patient experience of ambulance services,1458,table-11a-8.csv
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",900,table-11a-9.csv
11A.10,Enrolments in accredited paramedic training courses,360,table-11a-10.csv
11A.11,"Ambulance service organisations' expenditure, 2024-25 dollars",810,table-11a-11.csv
11A.12,Adult cardiac arrest survival rate,540,table-11a-12.csv
