table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,NSW,30.1
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,Vic,24.6
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,Qld,27.0
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,WA,18.6
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,SA,35.8
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,Tas,31.9
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,ACT,17.8
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,90th percentile,,,,CAA (unpublished),min.,NT,49.3
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,NSW,32.3
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,Vic,27.2
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,Qld,25.4
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,WA,21.0
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,SA,33.8
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,Tas,35.8
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,ACT,17.8
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,90th percentile,,,,CAA (unpublished),min.,NT,47.9
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,NSW,13.9
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,Vic,12.1
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,Qld,14.6
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,WA,10.1
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,SA,13.4
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,Tas,15.2
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,ACT,10.4
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Capital city,,Response times,50th percentile,,,,CAA (unpublished),min.,NT,18.3
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,50th percentile,,,,CAA (unpublished),min.,NSW,13.8
11A.5,Ambulance services response times,2024-25,Response times,All ages,All people,All people,Statewide,,Response times,50th percentile,,,,CAA (unpublished),min.,Vic,12.2
