table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,ACT,21.6
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,NT,22.0
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,Aust,26.6
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,NSW,2388
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,Vic,1704
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,Qld,1099
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,WA,859
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,SA,605
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,Tas,181
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,ACT,153
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,NT,50
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,Aust,7039
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,NSW,44.8
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Vic,61.8
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Qld,52.5
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,WA,41.9
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,SA,61.0
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Tas,33.3
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,ACT,42.9
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,NT,38.5
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult VF/VT cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Aust,51.5
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,NSW,605
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,Vic,626
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,Qld,400
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,WA,234
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,SA,141
