table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2020-21,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,146.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2020-21,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,52.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2020-21,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,425.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2020-21,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,237.29
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2019-20,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,189.7
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2019-20,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,138.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2019-20,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,48.7
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2019-20,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,376.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2019-20,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,211.87
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2018-19,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,198.2
