ReportDt,StateCd,RsdsInSrvcDstrctNm,LGANm2020,PrtcpntCnt
31MAR2026,ACT,ACT,Unincorporated ACT,12596
31MAR2026,ACT,Other,ACT - Other,<11
31MAR2026,MIS,Other,MIS - Other,12
31MAR2026,NSW,Central Coast,Central Coast (C) (NSW),13088
31MAR2026,NSW,Far West,Balranald (A),64
31MAR2026,NSW,Far West,Broken Hill (C),681
31MAR2026,NSW,Far West,Central Darling (A),42
31MAR2026,NSW,Far West,Wentworth (A),234
31MAR2026,NSW,Hunter New England,Armidale Regional (A),945
31MAR2026,NSW,Hunter New England,Cessnock (C),3176
31MAR2026,NSW,Hunter New England,Dungog (A),301
31MAR2026,NSW,Hunter New England,Glen Innes Severn (A),244
31MAR2026,NSW,Hunter New England,Gunnedah (A),377
31MAR2026,NSW,Hunter New England,Gwydir (A),101
31MAR2026,NSW,Hunter New England,Inverell (A),593
31MAR2026,NSW,Hunter New England,Lake Macquarie (C),8729
31MAR2026,NSW,Hunter New England,Liverpool Plains (A),219
31MAR2026,NSW,Hunter New England,Maitland (C),4946
31MAR2026,NSW,Hunter New England,Mid-Coast (A),3252
31MAR2026,NSW,Hunter New England,Moree Plains (A),320
31MAR2026,NSW,Hunter New England,Muswellbrook (A),649
31MAR2026,NSW,Hunter New England,Narrabri (A),326
31MAR2026,NSW,Hunter New England,Newcastle (C),6308
31MAR2026,NSW,Hunter New England,Port Stephens (A),2831
31MAR2026,NSW,Hunter New England,Singleton (A),863
31MAR2026,NSW,Hunter New England,Tamworth Regional (A),2380
31MAR2026,NSW,Hunter New England,Tenterfield (A),161
31MAR2026,NSW,Hunter New England,Upper Hunter Shire (A),334
31MAR2026,NSW,Hunter New England,Uralla (A),169
31MAR2026,NSW,Hunter New England,Walcha (A),40
31MAR2026,NSW,Illawarra Shoalhaven,Kiama (A),420
31MAR2026,NSW,Illawarra Shoalhaven,Shellharbour (C),2750
31MAR2026,NSW,Illawarra Shoalhaven,Shoalhaven (C),3482
31MAR2026,NSW,Illawarra Shoalhaven,Wollongong (C),6568
31MAR2026,NSW,Mid North Coast,Bellingen (A),400
31MAR2026,NSW,Mid North Coast,Coffs Harbour (C),2745
31MAR2026,NSW,Mid North Coast,Kempsey (A),1569
31MAR2026,NSW,Mid North Coast,Nambucca Valley (A),801
31MAR2026,NSW,Mid North Coast,Port Macquarie-Hastings (A),3913
31MAR2026,NSW,Murrumbidgee,Albury (C),2497
31MAR2026,NSW,Murrumbidgee,Berrigan (A),248
31MAR2026,NSW,Murrumbidgee,Bland (A),110
31MAR2026,NSW,Murrumbidgee,Carrathool (A),49
31MAR2026,NSW,Murrumbidgee,Coolamon (A),112
31MAR2026,NSW,Murrumbidgee,Cootamundra-Gundagai Regional (A),334
31MAR2026,NSW,Murrumbidgee,Edward River (A),295
31MAR2026,NSW,Murrumbidgee,Federation (A),380
31MAR2026,NSW,Murrumbidgee,Greater Hume Shire (A),416
31MAR2026,NSW,Murrumbidgee,Griffith (C),610
31MAR2026,NSW,Murrumbidgee,Hay (A),72
31MAR2026,NSW,Murrumbidgee,Hilltops (A),575
31MAR2026,NSW,Murrumbidgee,Junee (A),222
31MAR2026,NSW,Murrumbidgee,Leeton (A),307
31MAR2026,NSW,Murrumbidgee,Lockhart (A),105
31MAR2026,NSW,Murrumbidgee,Murray River (A),274
31MAR2026,NSW,Murrumbidgee,Murrumbidgee (A),74
31MAR2026,NSW,Murrumbidgee,Narrandera (A),202
31MAR2026,NSW,Murrumbidgee,Snowy Valleys (A),396
