ReportDt,StateCd,RsdsInSrvcDstrctNm,LGANm2020,PrtcpntCnt
31MAR2026,NSW,Murrumbidgee,Temora (A),162
31MAR2026,NSW,Murrumbidgee,Wagga Wagga (C),2384
31MAR2026,NSW,Nepean Blue Mountains,Blue Mountains (C),2789
31MAR2026,NSW,Nepean Blue Mountains,Hawkesbury (C),2058
31MAR2026,NSW,Nepean Blue Mountains,Lithgow (C),721
31MAR2026,NSW,Nepean Blue Mountains,Penrith (C),8277
31MAR2026,NSW,North Sydney,Hornsby (A),3067
31MAR2026,NSW,North Sydney,Hunters Hill (A),207
31MAR2026,NSW,North Sydney,Ku-ring-gai (A),1956
31MAR2026,NSW,North Sydney,Lane Cove (A),606
31MAR2026,NSW,North Sydney,Mosman (A),292
31MAR2026,NSW,North Sydney,North Sydney (A),757
31MAR2026,NSW,North Sydney,Northern Beaches (A),4511
31MAR2026,NSW,North Sydney,Ryde (C),2622
31MAR2026,NSW,North Sydney,Willoughby (C),1098
31MAR2026,NSW,Northern NSW,Ballina (A),1710
31MAR2026,NSW,Northern NSW,Byron (A),815
31MAR2026,NSW,Northern NSW,Clarence Valley (A),2021
31MAR2026,NSW,Northern NSW,Kyogle (A),309
31MAR2026,NSW,Northern NSW,Lismore (C),2083
31MAR2026,NSW,Northern NSW,Richmond Valley (A),1020
31MAR2026,NSW,Northern NSW,Tweed (A),3220
31MAR2026,NSW,Other,NSW - Other,<11
31MAR2026,NSW,Other,Unincorporated NSW,18
31MAR2026,NSW,South Eastern Sydney,Bayside (A),3255
31MAR2026,NSW,South Eastern Sydney,Georges River (A),2949
31MAR2026,NSW,South Eastern Sydney,Randwick (C),2630
31MAR2026,NSW,South Eastern Sydney,Sutherland Shire (A),5252
31MAR2026,NSW,South Eastern Sydney,Waverley (A),860
31MAR2026,NSW,South Eastern Sydney,Woollahra (A),539
31MAR2026,NSW,South Western Sydney,Camden (A),4333
31MAR2026,NSW,South Western Sydney,Campbelltown (C) (NSW),7117
31MAR2026,NSW,South Western Sydney,Canterbury-Bankstown (A),9503
31MAR2026,NSW,South Western Sydney,Fairfield (C),5315
31MAR2026,NSW,South Western Sydney,Liverpool (C),7103
31MAR2026,NSW,South Western Sydney,Wingecarribee (A),1306
31MAR2026,NSW,South Western Sydney,Wollondilly (A),1881
31MAR2026,NSW,Southern NSW,Bega Valley (A),1042
31MAR2026,NSW,Southern NSW,Eurobodalla (A),1173
31MAR2026,NSW,Southern NSW,Goulburn Mulwaree (A),1342
31MAR2026,NSW,Southern NSW,Queanbeyan-Palerang Regional (A),1611
31MAR2026,NSW,Southern NSW,Snowy Monaro Regional (A),439
31MAR2026,NSW,Southern NSW,Upper Lachlan Shire (A),222
31MAR2026,NSW,Southern NSW,Yass Valley (A),465
31MAR2026,NSW,Sydney,Burwood (A),629
31MAR2026,NSW,Sydney,Canada Bay (A),1316
31MAR2026,NSW,Sydney,Inner West (A),3413
31MAR2026,NSW,Sydney,Strathfield (A),687
31MAR2026,NSW,Sydney,Sydney (C),2632
31MAR2026,NSW,Western NSW,Bathurst Regional (A),1571
31MAR2026,NSW,Western NSW,Blayney (A),182
31MAR2026,NSW,Western NSW,Bogan (A),83
31MAR2026,NSW,Western NSW,Bourke (A),94
31MAR2026,NSW,Western NSW,Brewarrina (A),30
31MAR2026,NSW,Western NSW,Cabonne (A),311
31MAR2026,NSW,Western NSW,Cobar (A),90
31MAR2026,NSW,Western NSW,Coonamble (A),157
31MAR2026,NSW,Western NSW,Cowra (A),425
31MAR2026,NSW,Western NSW,Dubbo Regional (A),1875
31MAR2026,NSW,Western NSW,Forbes (A),289
31MAR2026,NSW,Western NSW,Gilgandra (A),143
31MAR2026,NSW,Western NSW,Lachlan (A),157
31MAR2026,NSW,Western NSW,Mid-Western Regional (A),727
31MAR2026,NSW,Western NSW,Narromine (A),189
31MAR2026,NSW,Western NSW,Oberon (A),116
31MAR2026,NSW,Western NSW,Orange (C),1721
31MAR2026,NSW,Western NSW,Parkes (A),406
31MAR2026,NSW,Western NSW,Walgett (A),139
31MAR2026,NSW,Western NSW,Warren (A),66
31MAR2026,NSW,Western NSW,Warrumbungle Shire (A),245
31MAR2026,NSW,Western NSW,Weddin (A),75
31MAR2026,NSW,Western Sydney,Blacktown (C),12659
31MAR2026,NSW,Western Sydney,Cumberland (A),5999
31MAR2026,NSW,Western Sydney,Parramatta (C),5196
31MAR2026,NSW,Western Sydney,The Hills Shire (A),4213
31MAR2026,NT,Barkly,Barkly (R),191
31MAR2026,NT,Central Australia,Alice Springs (T),914
31MAR2026,NT,Central Australia,Central Desert (R),86
31MAR2026,NT,Central Australia,MacDonnell (R),175
31MAR2026,NT,Darwin Remote,Roper Gulf (R),165
31MAR2026,NT,Darwin Remote,Tiwi Islands (R),134
31MAR2026,NT,Darwin Remote,Victoria Daly (R),68
31MAR2026,NT,Darwin Remote,West Arnhem (R),184
31MAR2026,NT,Darwin Remote,West Daly (R),98
31MAR2026,NT,Darwin Urban,Belyuen (S),<11
31MAR2026,NT,Darwin Urban,Coomalie (S),30
31MAR2026,NT,Darwin Urban,Darwin (C),1943
31MAR2026,NT,Darwin Urban,Litchfield (M),549
31MAR2026,NT,Darwin Urban,Palmerston (C),1378
31MAR2026,NT,Darwin Urban,Wagait (S),<11
31MAR2026,NT,East Arnhem,East Arnhem (R),279
31MAR2026,NT,Katherine,Katherine (T),404
31MAR2026,NT,Other,NT - Other,<11
31MAR2026,NT,Other,Unincorporated NT,207
31MAR2026,OT,Other,Unincorp. Other Territories,89
31MAR2026,QLD,Beenleigh,Logan (C),14400
31MAR2026,QLD,Beenleigh,Redland (C),5590
31MAR2026,QLD,Brisbane,Brisbane (C),30156
31MAR2026,QLD,Bundaberg,Bundaberg (R),4189
31MAR2026,QLD,Caboolture/Strathpine,Moreton Bay (R),19120
31MAR2026,QLD,Cairns,Aurukun (S),74
31MAR2026,QLD,Cairns,Cairns (R),4937
31MAR2026,QLD,Cairns,Cassowary Coast (R),753
31MAR2026,QLD,Cairns,Cook (S),83
31MAR2026,QLD,Cairns,Croydon (S),<11
31MAR2026,QLD,Cairns,Douglas (S),260
31MAR2026,QLD,Cairns,Etheridge (S),11
31MAR2026,QLD,Cairns,Hope Vale (S),28
31MAR2026,QLD,Cairns,Kowanyama (S),37
31MAR2026,QLD,Cairns,Lockhart River (S),16
31MAR2026,QLD,Cairns,Mapoon (S),<11
31MAR2026,QLD,Cairns,Mareeba (S),610
31MAR2026,QLD,Cairns,Napranum (S),25
31MAR2026,QLD,Cairns,Northern Peninsula Area (R),77
31MAR2026,QLD,Cairns,Pormpuraaw (S),27
31MAR2026,QLD,Cairns,Tablelands (R),757
31MAR2026,QLD,Cairns,Torres (S),68
31MAR2026,QLD,Cairns,Torres Strait Island (R),74
31MAR2026,QLD,Cairns,Weipa (T),61
31MAR2026,QLD,Cairns,Wujal Wujal (S),<11
31MAR2026,QLD,Cairns,Yarrabah (S),74
31MAR2026,QLD,Ipswich,Ipswich (C),10094
31MAR2026,QLD,Ipswich,Lockyer Valley (R),1385
31MAR2026,QLD,Ipswich,Scenic Rim (R),1434
31MAR2026,QLD,Ipswich,Somerset (R),908
31MAR2026,QLD,Mackay,Isaac (R),336
31MAR2026,QLD,Mackay,Mackay (R),3659
31MAR2026,QLD,Mackay,Whitsunday (R),830
31MAR2026,QLD,Maroochydore,Gympie (R),2440
31MAR2026,QLD,Maroochydore,Noosa (S),1316
31MAR2026,QLD,Maroochydore,Sunshine Coast (R),10910
31MAR2026,QLD,Maryborough,Cherbourg (S),81
31MAR2026,QLD,Maryborough,Fraser Coast (R),4577
31MAR2026,QLD,Maryborough,North Burnett (R),240
31MAR2026,QLD,Maryborough,South Burnett (R),1251
31MAR2026,QLD,Other,QLD - Other,<11
31MAR2026,QLD,Robina,Gold Coast (C),17038
31MAR2026,QLD,Rockhampton,Banana (S),365
31MAR2026,QLD,Rockhampton,Barcaldine (R),50
31MAR2026,QLD,Rockhampton,Barcoo (S),<11
31MAR2026,QLD,Rockhampton,Blackall-Tambo (R),36
31MAR2026,QLD,Rockhampton,Central Highlands (R) (Qld),750
31MAR2026,QLD,Rockhampton,Diamantina (S),<11
31MAR2026,QLD,Rockhampton,Gladstone (R),2369
31MAR2026,QLD,Rockhampton,Livingstone (S),1260
31MAR2026,QLD,Rockhampton,Longreach (R),90
31MAR2026,QLD,Rockhampton,Rockhampton (R),3964
31MAR2026,QLD,Rockhampton,Winton (S),26
31MAR2026,QLD,Rockhampton,Woorabinda (S),34
31MAR2026,QLD,Toowoomba,Balonne (S),99
31MAR2026,QLD,Toowoomba,Bulloo (S),<11
31MAR2026,QLD,Toowoomba,Goondiwindi (R),228
31MAR2026,QLD,Toowoomba,Maranoa (R),334
31MAR2026,QLD,Toowoomba,Murweh (S),152
31MAR2026,QLD,Toowoomba,Paroo (S),39
31MAR2026,QLD,Toowoomba,Quilpie (S),27
31MAR2026,QLD,Toowoomba,Southern Downs (R),1327
31MAR2026,QLD,Toowoomba,Toowoomba (R),6243
31MAR2026,QLD,Toowoomba,Western Downs (R),1059
31MAR2026,QLD,Townsville,Boulia (S),<11
31MAR2026,QLD,Townsville,Burdekin (S),460
31MAR2026,QLD,Townsville,Burke (S),<11
31MAR2026,QLD,Townsville,Carpentaria (S),54
31MAR2026,QLD,Townsville,Charters Towers (R),324
31MAR2026,QLD,Townsville,Cloncurry (S),51
31MAR2026,QLD,Townsville,Doomadgee (S),53
31MAR2026,QLD,Townsville,Flinders (S) (Qld),31
31MAR2026,QLD,Townsville,Hinchinbrook (S),318
31MAR2026,QLD,Townsville,McKinlay (S),<11
31MAR2026,QLD,Townsville,Mornington (S),32
31MAR2026,QLD,Townsville,Mount Isa (C),537
31MAR2026,QLD,Townsville,Palm Island (S),125
31MAR2026,QLD,Townsville,Richmond (S),11
31MAR2026,QLD,Townsville,Townsville (C),7180
31MAR2026,SA,Adelaide Hills,Adelaide Hills (DC),1056
31MAR2026,SA,Adelaide Hills,Mount Barker (DC),1791
31MAR2026,SA,"Barossa, Light and Lower North",Adelaide Plains (DC),468
31MAR2026,SA,"Barossa, Light and Lower North",Barossa (DC),950
31MAR2026,SA,"Barossa, Light and Lower North",Gawler (T),1362
31MAR2026,SA,"Barossa, Light and Lower North",Light (RegC),678
31MAR2026,SA,Eastern Adelaide,Adelaide (C),589
31MAR2026,SA,Eastern Adelaide,Burnside (C),968
31MAR2026,SA,Eastern Adelaide,Campbelltown (C) (SA),1513
31MAR2026,SA,Eastern Adelaide,Norwood Payneham St Peters (C),838
31MAR2026,SA,Eastern Adelaide,Prospect (C),558
31MAR2026,SA,Eastern Adelaide,Unley (C),859
31MAR2026,SA,Eastern Adelaide,Walkerville (M),162
31MAR2026,SA,Eyre and Western,Ceduna (DC),107
31MAR2026,SA,Eyre and Western,Cleve (DC),48
31MAR2026,SA,Eyre and Western,Elliston (DC),25
31MAR2026,SA,Eyre and Western,Franklin Harbour (DC),21
31MAR2026,SA,Eyre and Western,Kimba (DC),21
31MAR2026,SA,Eyre and Western,Lower Eyre Peninsula (DC),160
31MAR2026,SA,Eyre and Western,Port Lincoln (C),577
31MAR2026,SA,Eyre and Western,Streaky Bay (DC),36
31MAR2026,SA,Eyre and Western,Tumby Bay (DC),87
31MAR2026,SA,Eyre and Western,Whyalla (C),809
31MAR2026,SA,Eyre and Western,Wudinna (DC),34
31MAR2026,SA,Far North (SA),Anangu Pitjantjatjara (AC),126
31MAR2026,SA,Far North (SA),Coober Pedy (DC),34
31MAR2026,SA,Far North (SA),Flinders Ranges (DC),39
31MAR2026,SA,Far North (SA),Port Augusta (C),469
31MAR2026,SA,Far North (SA),Roxby Downs (M),65
31MAR2026,SA,Fleurieu and Kangaroo Island,Alexandrina (DC),1103
31MAR2026,SA,Fleurieu and Kangaroo Island,Kangaroo Island (DC),134
31MAR2026,SA,Fleurieu and Kangaroo Island,Victor Harbor (C),609
31MAR2026,SA,Fleurieu and Kangaroo Island,Yankalilla (DC),167
31MAR2026,SA,Limestone Coast,Grant (DC),231
31MAR2026,SA,Limestone Coast,Kingston (DC) (SA),48
31MAR2026,SA,Limestone Coast,Mount Gambier (C),1192
31MAR2026,SA,Limestone Coast,Naracoorte and Lucindale (DC),194
31MAR2026,SA,Limestone Coast,Robe (DC),17
31MAR2026,SA,Limestone Coast,Tatiara (DC),119
31MAR2026,SA,Limestone Coast,Wattle Range (DC),334
31MAR2026,SA,Murray and Mallee,Berri and Barmera (DC),469
31MAR2026,SA,Murray and Mallee,Karoonda East Murray (DC),33
31MAR2026,SA,Murray and Mallee,Loxton Waikerie (DC),401
31MAR2026,SA,Murray and Mallee,Mid Murray (DC),278
31MAR2026,SA,Murray and Mallee,Murray Bridge (RC),1084
31MAR2026,SA,Murray and Mallee,Renmark Paringa (DC),299
31MAR2026,SA,Murray and Mallee,Southern Mallee (DC),49
31MAR2026,SA,Murray and Mallee,The Coorong (DC),142
31MAR2026,SA,Northern Adelaide,Playford (C),7161
31MAR2026,SA,Northern Adelaide,Port Adelaide Enfield (C),5360
31MAR2026,SA,Northern Adelaide,Salisbury (C),6356
31MAR2026,SA,Northern Adelaide,Tea Tree Gully (C),3567
31MAR2026,SA,Other,Unincorporated SA,53
31MAR2026,SA,Southern Adelaide,Holdfast Bay (C),1066
31MAR2026,SA,Southern Adelaide,Marion (C),3574
31MAR2026,SA,Southern Adelaide,Mitcham (C),1931
31MAR2026,SA,Southern Adelaide,Onkaparinga (C),7876
31MAR2026,SA,Western Adelaide,Charles Sturt (C),3913
31MAR2026,SA,Western Adelaide,West Torrens (C),1691
31MAR2026,SA,Yorke and Mid North,Barunga West (DC),70
31MAR2026,SA,Yorke and Mid North,Clare and Gilbert Valleys (DC),239
31MAR2026,SA,Yorke and Mid North,Copper Coast (DC),554
31MAR2026,SA,Yorke and Mid North,Goyder (DC),125
31MAR2026,SA,Yorke and Mid North,Mount Remarkable (DC),52
31MAR2026,SA,Yorke and Mid North,Northern Areas (DC),109
31MAR2026,SA,Yorke and Mid North,Orroroo/Carrieton (DC),20
31MAR2026,SA,Yorke and Mid North,Peterborough (DC),55
31MAR2026,SA,Yorke and Mid North,Port Pirie City and Dists (M),687
31MAR2026,SA,Yorke and Mid North,Wakefield (DC),264
31MAR2026,SA,Yorke and Mid North,Yorke Peninsula (DC),263
31MAR2026,TAS,TAS North,Break O'Day (M),203
31MAR2026,TAS,TAS North,Dorset (M),155
31MAR2026,TAS,TAS North,Flinders (M) (Tas.),17
31MAR2026,TAS,TAS North,George Town (M),285
31MAR2026,TAS,TAS North,Launceston (C),2400
31MAR2026,TAS,TAS North,Meander Valley (M),568
31MAR2026,TAS,TAS North,Northern Midlands (M),390
31MAR2026,TAS,TAS North,West Tamar (M),706
31MAR2026,TAS,TAS North West,Burnie (C),743
31MAR2026,TAS,TAS North West,Central Coast (M) (Tas.),648
31MAR2026,TAS,TAS North West,Circular Head (M),164
31MAR2026,TAS,TAS North West,Devonport (C),1009
31MAR2026,TAS,TAS North West,Kentish (M),164
31MAR2026,TAS,TAS North West,King Island (M),21
31MAR2026,TAS,TAS North West,Latrobe (M) (Tas.),311
31MAR2026,TAS,TAS North West,Waratah/Wynyard (M),490
31MAR2026,TAS,TAS North West,West Coast (M),105
31MAR2026,TAS,TAS South East,Brighton (M),870
31MAR2026,TAS,TAS South East,Central Highlands (M) (Tas.),38
31MAR2026,TAS,TAS South East,Clarence (C),1797
31MAR2026,TAS,TAS South East,Derwent Valley (M),422
31MAR2026,TAS,TAS South East,Glamorgan/Spring Bay (M),82
31MAR2026,TAS,TAS South East,Sorell (M),444
31MAR2026,TAS,TAS South East,Southern Midlands (M),166
31MAR2026,TAS,TAS South East,Tasman (M),45
31MAR2026,TAS,TAS South West,Glenorchy (C),1941
31MAR2026,TAS,TAS South West,Hobart (C),1063
31MAR2026,TAS,TAS South West,Huon Valley (M),485
31MAR2026,TAS,TAS South West,Kingborough (M),991
31MAR2026,VIC,Barwon,Colac-Otway (S),817
31MAR2026,VIC,Barwon,Greater Geelong (C),12207
31MAR2026,VIC,Barwon,Queenscliffe (B),49
31MAR2026,VIC,Barwon,Surf Coast (S),857
31MAR2026,VIC,Bayside Peninsula,Bayside (C),1921
31MAR2026,VIC,Bayside Peninsula,Frankston (C),6020
31MAR2026,VIC,Bayside Peninsula,Glen Eira (C),3582
31MAR2026,VIC,Bayside Peninsula,Kingston (C) (Vic.),4291
31MAR2026,VIC,Bayside Peninsula,Mornington Peninsula (S),5661
31MAR2026,VIC,Bayside Peninsula,Port Phillip (C),2152
31MAR2026,VIC,Bayside Peninsula,Stonnington (C),1554
31MAR2026,VIC,Brimbank Melton,Brimbank (C),5985
31MAR2026,VIC,Brimbank Melton,Melton (C),8450
31MAR2026,VIC,Central Highlands,Ararat (RC),418
31MAR2026,VIC,Central Highlands,Ballarat (C),4917
31MAR2026,VIC,Central Highlands,Golden Plains (S),977
31MAR2026,VIC,Central Highlands,Hepburn (S),435
31MAR2026,VIC,Central Highlands,Moorabool (S),1394
31MAR2026,VIC,Central Highlands,Pyrenees (S),218
31MAR2026,VIC,Goulburn,Greater Shepparton (C),2865
31MAR2026,VIC,Goulburn,Mitchell (S),2168
31MAR2026,VIC,Goulburn,Moira (S),1052
31MAR2026,VIC,Goulburn,Murrindindi (S),371
31MAR2026,VIC,Goulburn,Strathbogie (S),268
31MAR2026,VIC,Hume Moreland,Hume (C),9748
31MAR2026,VIC,Hume Moreland,Moreland (C),4856
31MAR2026,VIC,Inner East Melbourne,Boroondara (C),3065
31MAR2026,VIC,Inner East Melbourne,Manningham (C),2590
31MAR2026,VIC,Inner East Melbourne,Monash (C),3727
31MAR2026,VIC,Inner East Melbourne,Whitehorse (C),4189
31MAR2026,VIC,Inner Gippsland,Bass Coast (S),1285
31MAR2026,VIC,Inner Gippsland,Baw Baw (S),2181
31MAR2026,VIC,Inner Gippsland,Latrobe (C) (Vic.),3619
31MAR2026,VIC,Inner Gippsland,South Gippsland (S),889
31MAR2026,VIC,Loddon,Campaspe (S),1402
31MAR2026,VIC,Loddon,Central Goldfields (S),580
31MAR2026,VIC,Loddon,Greater Bendigo (C),6205
31MAR2026,VIC,Loddon,Loddon (S),204
31MAR2026,VIC,Loddon,Macedon Ranges (S),1817
31MAR2026,VIC,Loddon,Mount Alexander (S),742
31MAR2026,VIC,Mallee,Buloke (S),165
31MAR2026,VIC,Mallee,Gannawarra (S),269
31MAR2026,VIC,Mallee,Mildura (RC),2426
31MAR2026,VIC,Mallee,Swan Hill (RC),744
31MAR2026,VIC,North East Melbourne,Banyule (C),3973
31MAR2026,VIC,North East Melbourne,Darebin (C),4568
31MAR2026,VIC,North East Melbourne,Nillumbik (S),1888
31MAR2026,VIC,North East Melbourne,Whittlesea (C),7642
31MAR2026,VIC,North East Melbourne,Yarra (C),1831
31MAR2026,VIC,Other,Unincorporated Vic,<11
31MAR2026,VIC,Other,VIC - Other,<11
31MAR2026,VIC,Outer East Melbourne,Knox (C),4766
31MAR2026,VIC,Outer East Melbourne,Maroondah (C),4268
31MAR2026,VIC,Outer East Melbourne,Yarra Ranges (S),5442
31MAR2026,VIC,Outer Gippsland,East Gippsland (S),1720
31MAR2026,VIC,Outer Gippsland,Wellington (S),1659
31MAR2026,VIC,Ovens Murray,Alpine (S),282
31MAR2026,VIC,Ovens Murray,Benalla (RC),540
31MAR2026,VIC,Ovens Murray,Indigo (S),531
31MAR2026,VIC,Ovens Murray,Mansfield (S),220
31MAR2026,VIC,Ovens Murray,Towong (S),163
31MAR2026,VIC,Ovens Murray,Wangaratta (RC),1179
31MAR2026,VIC,Ovens Murray,Wodonga (C),2211
31MAR2026,VIC,Southern Melbourne,Cardinia (S),4214
31MAR2026,VIC,Southern Melbourne,Casey (C),11889
31MAR2026,VIC,Southern Melbourne,Greater Dandenong (C),4315
31MAR2026,VIC,Western District,Corangamite (S),507
31MAR2026,VIC,Western District,Glenelg (S),661
31MAR2026,VIC,Western District,Hindmarsh (S),145
31MAR2026,VIC,Western District,Horsham (RC),787
31MAR2026,VIC,Western District,Moyne (S),456
31MAR2026,VIC,Western District,Northern Grampians (S),367
31MAR2026,VIC,Western District,Southern Grampians (S),539
31MAR2026,VIC,Western District,Warrnambool (C),1547
31MAR2026,VIC,Western District,West Wimmera (S),88
31MAR2026,VIC,Western District,Yarriambiack (S),226
31MAR2026,VIC,Western Melbourne,Hobsons Bay (C),2827
31MAR2026,VIC,Western Melbourne,Maribyrnong (C),2556
31MAR2026,VIC,Western Melbourne,Melbourne (C),1955
31MAR2026,VIC,Western Melbourne,Moonee Valley (C),3147
31MAR2026,VIC,Western Melbourne,Wyndham (C),10397
31MAR2026,WA,Central North Metro,Cambridge (T),495
31MAR2026,WA,Central North Metro,Claremont (T),204
31MAR2026,WA,Central North Metro,Cottesloe (T),90
31MAR2026,WA,Central North Metro,Mosman Park (T),160
31MAR2026,WA,Central North Metro,Nedlands (C),435
31MAR2026,WA,Central North Metro,Peppermint Grove (S),13
31MAR2026,WA,Central North Metro,Perth (C),361
31MAR2026,WA,Central North Metro,Stirling (C),4836
31MAR2026,WA,Central North Metro,Subiaco (C),292
31MAR2026,WA,Central North Metro,Vincent (C),683
31MAR2026,WA,Central South Metro,Cockburn (C),3263
31MAR2026,WA,Central South Metro,East Fremantle (T),112
31MAR2026,WA,Central South Metro,Fremantle (C),735
31MAR2026,WA,Central South Metro,Kwinana (C),1667
31MAR2026,WA,Central South Metro,Melville (C),2148
31MAR2026,WA,Central South Metro,South Perth (C),787
31MAR2026,WA,Goldfields-Esperance,Coolgardie (S),80
31MAR2026,WA,Goldfields-Esperance,Dundas (S),<11
31MAR2026,WA,Goldfields-Esperance,Esperance (S),347
31MAR2026,WA,Goldfields-Esperance,Kalgoorlie/Boulder (C),650
31MAR2026,WA,Goldfields-Esperance,Laverton (S),11
31MAR2026,WA,Goldfields-Esperance,Leonora (S),13
31MAR2026,WA,Goldfields-Esperance,Menzies (S),<11
31MAR2026,WA,Goldfields-Esperance,Ngaanyatjarraku (S),37
31MAR2026,WA,Goldfields-Esperance,Ravensthorpe (S),27
31MAR2026,WA,Great Southern,Albany (C),1142
31MAR2026,WA,Great Southern,Broomehill-Tambellup (S),31
31MAR2026,WA,Great Southern,Cranbrook (S),30
31MAR2026,WA,Great Southern,Denmark (S),121
31MAR2026,WA,Great Southern,Gnowangerup (S),23
31MAR2026,WA,Great Southern,Jerramungup (S),20
31MAR2026,WA,Great Southern,Katanning (S),79
31MAR2026,WA,Great Southern,Kent (S),<11
31MAR2026,WA,Great Southern,Kojonup (S),31
31MAR2026,WA,Great Southern,Plantagenet (S),121
31MAR2026,WA,Great Southern,Woodanilling (S),11
31MAR2026,WA,Kimberley-Pilbara,Ashburton (S),99
31MAR2026,WA,Kimberley-Pilbara,Broome (S),533
31MAR2026,WA,Kimberley-Pilbara,Derby-West Kimberley (S),237
31MAR2026,WA,Kimberley-Pilbara,East Pilbara (S),109
31MAR2026,WA,Kimberley-Pilbara,Halls Creek (S),93
31MAR2026,WA,Kimberley-Pilbara,Karratha (C),522
31MAR2026,WA,Kimberley-Pilbara,Port Hedland (T),303
31MAR2026,WA,Kimberley-Pilbara,Wyndham-East Kimberley (S),196
31MAR2026,WA,Midwest-Gascoyne,Carnamah (S),14
31MAR2026,WA,Midwest-Gascoyne,Carnarvon (S),101
31MAR2026,WA,Midwest-Gascoyne,Chapman Valley (S),33
31MAR2026,WA,Midwest-Gascoyne,Coorow (S),13
31MAR2026,WA,Midwest-Gascoyne,Cue (S),<11
31MAR2026,WA,Midwest-Gascoyne,Exmouth (S),34
31MAR2026,WA,Midwest-Gascoyne,Greater Geraldton (C),1304
31MAR2026,WA,Midwest-Gascoyne,Irwin (S),72
31MAR2026,WA,Midwest-Gascoyne,Meekatharra (S),<11
31MAR2026,WA,Midwest-Gascoyne,Mingenew (S),<11
31MAR2026,WA,Midwest-Gascoyne,Morawa (S),14
31MAR2026,WA,Midwest-Gascoyne,Mount Magnet (S),19
31MAR2026,WA,Midwest-Gascoyne,Northampton (S),71
31MAR2026,WA,Midwest-Gascoyne,Perenjori (S),<11
31MAR2026,WA,Midwest-Gascoyne,Shark Bay (S),12
31MAR2026,WA,Midwest-Gascoyne,Three Springs (S),<11
