STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,378197,21.96%,0.35%
VIC,430544,24.99%,0.26%
QLD,343689,19.95%,0.17%
SA,192917,11.20%,0.38%
WA,271947,15.79%,0.11%
TAS,53335,3.10%,0.08%
NT,13457,0.78%,0.02%
ACT,38445,2.23%,0.27%
TOTAL,1722531,100.00%,0.24%
