STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,85996,216594,242461,222167,159415,131427,1058060,40.01%
VIC,14755,46011,43162,39749,28510,22466,194653,9.96%
QLD,63356,91013,76816,49927,31545,19773,332430,21.61%
SA,32920,54113,55850,55567,42860,34022,275332,45.25%
WA,7056,47038,60667,55549,40392,32189,242891,30.81%
TAS,1570,14156,17892,18163,13384,11762,76927,41.27%
NT,196,713,1244,993,622,267,4035,5.11%
ACT,595,2212,2808,2556,1877,1244,11292,8.91%
TOTAL,206444,471850,500900,444671,318605,253150,2195620,27.70%
