STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2086467,47.10%,-0.09%
VIC,466648,10.53%,-0.14%
QLD,643356,14.52%,-0.14%
SA,547699,12.36%,-0.07%
WA,494920,11.17%,-0.21%
TAS,154369,3.48%,-0.82%
NT,9926,0.22%,-0.45%
ACT,26686,0.60%,-0.24%
TOTAL,4430071,100.00%,-0.14%
