STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,87425,227237,247524,216729,142950,106508,1028373,37.83%
VIC,21661,70255,62102,52033,36068,25892,268011,13.12%
QLD,61304,82179,72839,48454,29508,16640,310924,19.91%
SA,32771,55836,58437,56429,40252,28157,271882,43.19%
WA,9508,52499,64391,57276,38735,28253,250662,31.59%
TAS,2179,15110,18890,18719,12448,10096,77442,39.61%
NT,501,1597,1714,1181,674,222,5889,8.39%
ACT,1248,3787,3644,3138,2227,1349,15393,11.71%
TOTAL,216597,508500,529541,453959,302862,217117,2228576,27.36%
