STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,401926,22.37%,0.62%
VIC,450703,25.09%,0.40%
QLD,354692,19.74%,0.38%
SA,204008,11.36%,0.32%
WA,277349,15.44%,0.17%
TAS,54448,3.03%,0.18%
NT,13488,0.75%,0.19%
ACT,39976,2.23%,0.40%
TOTAL,1796590,100.00%,0.39%
