jurisdiction,category,financial_year,financial_year_start,emissions_gg_co2e,notation_key,notation_meaning
Australia,Total (net emissions),1989-90,1989,615876.2361172838,,
Australia,Total (net emissions),1990-91,1990,596633.1975131781,,
Australia,Total (net emissions),1991-92,1991,557586.696304225,,
Australia,Total (net emissions),1992-93,1992,536809.740987707,,
Australia,Total (net emissions),1993-94,1993,526483.5517434363,,
Australia,Total (net emissions),1994-95,1994,514328.4176914219,,
Australia,Total (net emissions),1995-96,1995,516008.25587841595,,
Australia,Total (net emissions),1996-97,1996,514553.1972327937,,
Australia,Total (net emissions),1997-98,1997,532773.4153747393,,
Australia,Total (net emissions),1998-99,1998,553482.9826010123,,
Australia,Total (net emissions),1999-00,1999,574975.3852551664,,
Australia,Total (net emissions),2000-01,2000,590333.2150268288,,
Australia,Total (net emissions),2001-02,2001,594359.5641273574,,
Australia,Total (net emissions),2002-03,2002,594068.0611337398,,
Australia,Total (net emissions),2003-04,2003,575448.999660022,,
Australia,Total (net emissions),2004-05,2004,607729.2512049277,,
Australia,Total (net emissions),2005-06,2005,644086.0475381376,,
Australia,Total (net emissions),2006-07,2006,626774.8137733912,,
Australia,Total (net emissions),2007-08,2007,616828.736507663,,
Australia,Total (net emissions),2008-09,2008,611108.7190727621,,
Australia,Total (net emissions),2009-10,2009,612768.6828688517,,
Australia,Total (net emissions),2010-11,2010,581900.3200032645,,
Australia,Total (net emissions),2011-12,2011,556626.1358588744,,
Australia,Total (net emissions),2012-13,2012,559527.4687697967,,
Australia,Total (net emissions),2013-14,2013,541035.9224976574,,
Australia,Total (net emissions),2014-15,2014,537499.42197174,,
Australia,Total (net emissions),2015-16,2015,494769.25046503794,,
Australia,Total (net emissions),2016-17,2016,533766.7072948802,,
Australia,Total (net emissions),2017-18,2017,504911.1583152401,,
Australia,Total (net emissions),2018-19,2018,492868.5109200172,,
Australia,Total (net emissions),2019-20,2019,476636.5016305405,,
Australia,Total (net emissions),2020-21,2020,440366.0194213365,,
Australia,Total (net emissions),2021-22,2021,443766.54761418304,,
Australia,Total (net emissions),2022-23,2022,484679.1906642654,,
Australia,Total (net emissions),2023-24,2023,466422.7284649021,,
Australia,1. Energy,1989-90,1989,297292.00651038473,,
Australia,1. Energy,1990-91,1990,298973.0538079848,,
Australia,1. Energy,1991-92,1991,305323.9071121801,,
Australia,1. Energy,1992-93,1992,308546.6996787056,,
Australia,1. Energy,1993-94,1993,309398.3449171883,,
Australia,1. Energy,1994-95,1994,321923.3897059075,,
Australia,1. Energy,1995-96,1995,328326.60029023583,,
Australia,1. Energy,1996-97,1996,339553.57210814545,,
Australia,1. Energy,1997-98,1997,353733.0346334564,,
Australia,1. Energy,1998-99,1998,359228.711895631,,
Australia,1. Energy,1999-00,1999,368255.4876151771,,
Australia,1. Energy,2000-01,2000,376132.7440049634,,
Australia,1. Energy,2001-02,2001,379253.17401570594,,
Australia,1. Energy,2002-03,2002,385328.4538636364,,
Australia,1. Energy,2003-04,2003,395766.77158754953,,
Australia,1. Energy,2004-05,2004,402281.6225829753,,
Australia,1. Energy,2005-06,2005,408358.3459320864,,
Australia,1. Energy,2006-07,2006,417270.6104096632,,
Australia,1. Energy,2007-08,2007,422613.9336271549,,
Australia,1. Energy,2008-09,2008,426936.5616096993,,
Australia,1. Energy,2009-10,2009,421838.2064365055,,
Australia,1. Energy,2010-11,2010,418848.52988395974,,
Australia,1. Energy,2011-12,2011,423287.7808104123,,
Australia,1. Energy,2012-13,2012,418071.65569070517,,
Australia,1. Energy,2013-14,2013,410414.5872518472,,
Australia,1. Energy,2014-15,2014,421808.278396246,,
Australia,1. Energy,2015-16,2015,431032.45547752624,,
Australia,1. Energy,2016-17,2016,435074.4409747288,,
Australia,1. Energy,2017-18,2017,437599.39947714284,,
Australia,1. Energy,2018-19,2018,436060.6625298058,,
Australia,1. Energy,2019-20,2019,421292.10713954974,,
Australia,1. Energy,2020-21,2020,407141.74513687356,,
Australia,1. Energy,2021-22,2021,401378.2170402991,,
Australia,1. Energy,2022-23,2022,400013.7217450677,,
Australia,1. Energy,2023-24,2023,398122.3160314617,,
Australia,A. Fuel combustion (sectoral approach),1989-90,1989,256880.15975775133,,
Australia,A. Fuel combustion (sectoral approach),1990-91,1990,259236.84924410476,,
Australia,A. Fuel combustion (sectoral approach),1991-92,1991,263632.1616109068,,
Australia,A. Fuel combustion (sectoral approach),1992-93,1992,268023.15410739044,,
Australia,A. Fuel combustion (sectoral approach),1993-94,1993,271077.5407631054,,
Australia,A. Fuel combustion (sectoral approach),1994-95,1994,281936.2276711347,,
Australia,A. Fuel combustion (sectoral approach),1995-96,1995,288849.6654567273,,
Australia,A. Fuel combustion (sectoral approach),1996-97,1996,297131.8855333029,,
Australia,A. Fuel combustion (sectoral approach),1997-98,1997,310115.2299797937,,
Australia,A. Fuel combustion (sectoral approach),1998-99,1998,318700.3470596938,,
Australia,A. Fuel combustion (sectoral approach),1999-00,1999,324331.1809449769,,
Australia,A. Fuel combustion (sectoral approach),2000-01,2000,332162.9661093867,,
Australia,A. Fuel combustion (sectoral approach),2001-02,2001,336836.2304676059,,
Australia,A. Fuel combustion (sectoral approach),2002-03,2002,344440.0051432067,,
Australia,A. Fuel combustion (sectoral approach),2003-04,2003,355057.94633357564,,
Australia,A. Fuel combustion (sectoral approach),2004-05,2004,359691.25720674737,,
Australia,A. Fuel combustion (sectoral approach),2005-06,2005,364781.56898012233,,
Australia,A. Fuel combustion (sectoral approach),2006-07,2006,370365.13909667515,,
Australia,A. Fuel combustion (sectoral approach),2007-08,2007,376435.13019348204,,
Australia,A. Fuel combustion (sectoral approach),2008-09,2008,381042.6469177972,,
Australia,A. Fuel combustion (sectoral approach),2009-10,2009,376342.8707293234,,
Australia,A. Fuel combustion (sectoral approach),2010-11,2010,374833.0599556581,,
Australia,A. Fuel combustion (sectoral approach),2011-12,2011,378284.1610082534,,
