jurisdiction,category,change_2004_05_to_2023_24_pct,notation_key,notation_meaning
ACT,Forest converted to other land uses,,NA,Not applicable
ACT,Direct emissions from forest clearing,,NA,Not applicable
ACT,Emissions from post-clearing land uses,,NA,Not applicable
ACT,5.  Waste,-0.8417354616507108,,
ACT,A.  Solid waste disposal,,NA,Not applicable
ACT,B.  Biological treatment of solid waste,,NA,Not applicable
ACT,C.  Incineration and open burning of waste,,NA,Not applicable
ACT,D.  Waste water treatment and discharge,,NA,Not applicable
ACT,E.  Other,,NA,Not applicable
External Territories,Total (net emissions),2.0437420732496143,,
External Territories,1. Energy,2.732843929035498,,
External Territories,A. Fuel combustion (sectoral approach),2.732843929035498,,
External Territories,1.  Energy industries,4.033396982123185,,
External Territories,2.  Manufacturing industries and construction,,NA,Not applicable
External Territories,3.  Transport,-1,,
External Territories,4.  Other sectors,,NA,Not applicable
External Territories,5.  Other,,NA,Not applicable
External Territories,B. Fugitive emissions from fuels,,NA,Not applicable
External Territories,1.  Solid fuels,,NA,Not applicable
External Territories,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
External Territories,C. CO₂ transport and storage,,NA,Not applicable
External Territories,2.  Industrial Processes,1.638015043656537,,
External Territories,A.  Mineral industry,,NA,Not applicable
External Territories,B.  Chemical industry,,NA,Not applicable
External Territories,C.  Metal industry,,NA,Not applicable
External Territories,D.  Non-energy products from fuels and solvent use,,NA,Not applicable
External Territories,E.  Electronic industry,,NA,Not applicable
External Territories,F.  Product uses as ODS substitutes,1.8020538599562799,,
External Territories,G.  Other product manufacture and use,-0.5556811000720416,,
External Territories,H.  Other,,NA,Not applicable
External Territories,3.  Agriculture,,NA,Not applicable
External Territories,A.  Enteric fermentation,,NA,Not applicable
External Territories,B.  Manure management,,NA,Not applicable
External Territories,C.  Rice cultivation,,NA,Not applicable
External Territories,D.  Agricultural soils,,NA,Not applicable
External Territories,E.  Prescribed burning of savannas,,NA,Not applicable
External Territories,F.  Field burning of agricultural residues,,NA,Not applicable
External Territories,G. Liming,,NA,Not applicable
External Territories,H. Urea application,,NA,Not applicable
External Territories,I.  Other carbon-containing fertilizers,,NA,Not applicable
External Territories,J.  Other,,NA,Not applicable
External Territories,"4. Land Use, Land-Use Change and Forestry",0.5016772378706191,,
External Territories,A. Forest Land,,NA,Not applicable
External Territories,1.  Forest land remaining forest land,,NA,Not applicable
External Territories,2.  Land converted to forest land,,NA,Not applicable
External Territories,B. Cropland,,NA,Not applicable
External Territories,1.  Cropland remaining cropland,,NA,Not applicable
External Territories,2.  Land converted to cropland,,NA,Not applicable
External Territories,C. Grassland,,NA,Not applicable
External Territories,1.  Grassland remaining grassland,,NA,Not applicable
External Territories,2.  Land converted to grassland,,NA,Not applicable
External Territories,D. Wetland,,NA,Not applicable
External Territories,1.  Wetland remaining wetland,,NA,Not applicable
External Territories,2.  Land converted to wetland,,NA,Not applicable
External Territories,E. Settlements,,NA,Not applicable
External Territories,1.  Settlements remaining settlements,,NA,Not applicable
External Territories,2.  Land converted to settlements,,NA,Not applicable
External Territories,G. Harvested Wood Products,0.5016772378706191,,
External Territories,Memo items:,,NA,Not applicable
External Territories,Forest converted to other land uses,,NA,Not applicable
External Territories,Direct emissions from forest clearing,,NA,Not applicable
External Territories,Emissions from post-clearing land uses,,NA,Not applicable
External Territories,5.  Waste,0.1026344846344566,,
External Territories,A.  Solid waste disposal,0.21311763010283574,,
External Territories,B.  Biological treatment of solid waste,1.7086913491565652,,
External Territories,C.  Incineration and open burning of waste,,NA,Not applicable
External Territories,D.  Waste water treatment and discharge,-0.14713036069563762,,
External Territories,E.  Other,,NA,Not applicable
